"Date","Price","Open","High","Low","Vol.","Change %"
"05/29/2022","0.35","0.41","0.41","0.35","6.85M","-12.59%"
"05/22/2022","0.41","0.43","0.48","0.39","10.33M","-2.88%"
"05/15/2022","0.42","0.40","0.54","0.38","15.28M","1.46%"
"05/08/2022","0.41","0.44","0.47","0.37","16.81M","-8.87%"
"05/01/2022","0.45","0.63","0.68","0.44","33.63M","-28.07%"
"04/24/2022","0.63","0.65","0.98","0.51","33.98M","-3.09%"
"04/17/2022","0.65","0.82","0.85","0.61","23.87M","-19.63%"
"04/10/2022","0.81","0.91","0.94","0.74","10.31M","-11.34%"
"04/03/2022","0.91","1.53","1.76","0.88","37.70M","-41.04%"
"03/27/2022","1.54","0.60","2.22","0.58","51.16M","160.58%"
"03/20/2022","0.59","0.72","0.78","0.58","25.07M","-17.92%"
"03/13/2022","0.72","1.02","1.05","0.68","23.54M","-27.71%"
"03/06/2022","1.00","1.28","1.34","0.94","18.78M","-21.57%"
"02/27/2022","1.27","1.32","1.94","1.26","19.75M","-2.31%"
"02/20/2022","1.30","1.89","1.89","1.23","21.90M","-32.64%"
"02/13/2022","1.93","2.59","3.05","1.85","25.55M","-25.19%"
"02/06/2022","2.58","4.86","4.86","2.06","17.75M","-46.91%"
"01/30/2022","4.86","6.35","6.35","4.70","6.41M","-21.86%"
"01/23/2022","6.22","6.97","7.00","6.00","1.99M","-10.76%"
"01/16/2022","6.97","7.40","7.40","6.90","2.10M","-3.73%"
"01/09/2022","7.24","7.56","8.00","7.22","1.29M","-4.36%"
"01/02/2022","7.57","8.39","8.39","7.50","879.24K","-7.80%"
"12/26/2021","8.21","7.30","8.40","7.02","7.79M","12.47%"
"12/19/2021","7.30","7.48","7.61","7.21","3.71M","-1.35%"
"12/12/2021","7.40","7.44","7.87","7.21","1.94M","1.93%"
"12/05/2021","7.26","7.55","7.91","7.22","1.83M","-3.07%"
"11/28/2021","7.49","7.40","8.00","7.39","1.83M","1.08%"
"11/21/2021","7.41","8.05","8.34","7.20","3.70M","-7.61%"
"11/14/2021","8.02","8.17","8.37","7.89","5.32M","-1.96%"
"11/07/2021","8.18","9.44","9.44","8.09","4.57M","-13.53%"
"10/31/2021","9.46","10.49","10.88","9.42","2.16M","-8.78%"
"10/24/2021","10.37","10.25","10.52","9.52","2.34M","1.77%"
"10/17/2021","10.19","10.57","11.50","10.10","3.66M","-2.67%"
