"Date","Price","Open","High","Low","Vol.","Change %"
"12/27/2020","10,845.26","10,683.86","10,897.12","10,585.51","894.49M","1.51%"
"12/20/2020","10,683.86","10,844.58","10,895.08","10,545.86","911.56M","-1.48%"
"12/13/2020","10,844.58","10,987.39","11,100.78","10,843.47","771.28M","-1.30%"
"12/06/2020","10,987.39","11,015.01","11,049.64","10,987.39","1.09B","-0.25%"
"11/29/2020","11,015.01","10,980.96","11,103.72","10,937.88","833.89M","0.31%"
"11/22/2020","10,980.96","10,898.67","11,112.49","10,852.72","937.14M","0.76%"
"11/15/2020","10,898.67","11,017.28","11,076.74","10,890.08","749.83M","-1.08%"
"11/08/2020","11,017.28","10,629.29","11,122.98","10,613.13","833.08M","3.65%"
"11/01/2020","10,629.29","10,515.25","10,637.82","10,426.92","592.77M","1.08%"
"10/25/2020","10,515.25","10,987.43","10,987.43","10,414.66","519.06M","-4.30%"
"10/18/2020","10,987.43","11,322.71","11,322.71","10,987.07","641.97M","-2.96%"
"10/11/2020","11,322.71","11,326.98","11,423.92","11,282.69","904.09M","-0.04%"
"10/04/2020","11,326.98","11,051.30","11,344.82","10,999.90","577.51M","2.49%"
"09/27/2020","11,051.30","10,911.44","11,065.23","10,898.72","768.17M","1.28%"
"09/20/2020","10,911.44","11,050.89","11,062.28","10,818.29","683.75M","-1.26%"
"09/13/2020","11,050.89","11,070.84","11,119.75","11,013.17","1.22B","-0.18%"
"09/06/2020","11,070.84","11,180.81","11,190.53","10,873.66","785.53M","-0.98%"
"08/30/2020","11,180.81","11,462.45","11,490.42","11,180.12","961.63M","-2.46%"
"08/23/2020","11,462.45","11,160.05","11,493.43","11,160.05","1.32B","2.71%"
"08/16/2020","11,160.05","10,944.18","11,193.72","10,944.18","814.11M","1.97%"
"08/09/2020","10,944.18","10,817.29","11,047.01","10,817.29","1.25B","1.17%"
"08/02/2020","10,817.29","10,599.46","10,827.28","10,596.80","914.51M","2.06%"
"07/26/2020","10,599.46","10,459.92","10,621.90","10,459.92","676.60M","1.33%"
"07/19/2020","10,459.92","10,441.20","10,593.76","10,271.96","985.54M","0.18%"
"07/12/2020","10,441.20","10,957.02","11,140.45","10,378.23","2.06B","-4.71%"
"07/05/2020","10,957.02","10,764.59","11,172.57","10,764.59","1.44B","1.79%"
"06/28/2020","10,764.59","10,890.48","10,890.48","10,744.19","644.35M","-1.16%"
"06/21/2020","10,890.48","10,857.87","11,088.80","10,695.40","1.00B","0.30%"
"06/14/2020","10,857.87","10,831.92","10,955.79","10,575.45","769.89M","0.24%"
"06/07/2020","10,831.92","10,621.14","11,215.28","10,621.14","1.11B","1.98%"
"05/31/2020","10,621.14","10,109.91","10,621.30","10,109.91","710.12M","5.06%"
"05/17/2020","10,109.91","10,287.21","10,396.84","10,063.96","329.29M","-1.72%"
"05/10/2020","10,287.21","10,176.73","10,591.03","10,161.39","703.31M","1.09%"
"05/03/2020","10,176.73","10,554.04","10,554.04","10,069.92","835.87M","-3.58%"
"04/26/2020","10,554.04","10,120.46","10,571.54","10,120.46","1.22B","4.28%"
"04/19/2020","10,120.46","10,154.64","10,154.64","9,773.43","775.48M","-0.34%"
"04/12/2020","10,154.64","10,321.97","10,502.88","10,141.56","735.53M","-1.62%"
"04/05/2020","10,321.97","9,455.38","10,382.70","9,264.51","1.03B","9.17%"
"03/29/2020","9,455.38","9,912.98","9,912.98","9,399.21","538.09M","-4.62%"
"03/22/2020","9,912.98","9,205.58","10,414.65","9,205.58","738.51M","7.68%"
"03/15/2020","9,205.58","11,194.12","11,194.12","8,113.82","951.54M","-17.76%"
"03/08/2020","11,194.12","12,347.65","12,347.65","10,913.61","653.46M","-9.34%"
"03/01/2020","12,347.65","13,008.94","13,008.94","12,181.93","717.36M","-5.08%"
"02/23/2020","13,008.94","13,720.65","13,763.24","13,008.94","640.07M","-5.19%"
"02/16/2020","13,720.65","13,859.45","13,859.71","13,626.41","436.12M","-1.00%"
"02/09/2020","13,859.45","14,105.86","14,137.22","13,840.94","340.54M","-1.75%"
"02/02/2020","14,105.86","13,918.84","14,121.54","13,852.89","507.37M","1.34%"
"01/26/2020","13,918.84","13,728.09","13,918.84","13,563.70","380.70M","1.39%"
"01/19/2020","13,728.09","13,824.16","13,977.72","13,631.72","283.61M","-0.69%"
"01/12/2020","13,824.16","13,729.81","13,834.09","13,698.09","339.91M","0.69%"
"01/05/2020","13,729.81","13,899.54","13,899.54","13,005.23","298.44M","-1.22%"
"12/29/2019","13,899.54","13,884.95","14,092.47","13,811.38","210.51M","0.11%"
"12/22/2019","13,884.95","13,837.19","13,904.67","13,741.01","147.70M","0.35%"
"12/15/2019","13,837.19","13,358.47","13,856.67","13,357.47","638.70M","3.58%"
"12/08/2019","13,358.47","13,622.13","13,622.13","13,353.15","170.08M","-1.94%"
"12/01/2019","13,622.13","13,849.46","13,877.37","13,388.39","346.44M","-1.64%"
"11/24/2019","13,849.46","14,094.58","14,094.58","13,744.60","236.65M","-1.74%"
"11/17/2019","14,094.58","14,545.54","14,572.80","14,094.58","351.88M","-3.10%"
"11/10/2019","14,545.54","14,795.87","14,831.20","14,507.63","375.10M","-1.69%"
"11/03/2019","14,795.87","14,558.02","14,798.00","14,558.02","444.98M","1.63%"
"10/27/2019","14,558.02","14,206.67","14,561.37","14,205.97","704.90M","2.47%"
"10/20/2019","14,206.67","14,205.86","14,267.65","14,078.20","466.44M","0.01%"
"10/13/2019","14,205.86","14,302.27","14,314.75","14,057.02","485.88M","-0.67%"
"10/06/2019","14,302.27","14,217.81","14,465.09","14,180.43","435.23M","0.59%"
"09/29/2019","14,217.81","13,857.12","14,523.69","13,857.12","672.79M","2.60%"
"09/22/2019","13,857.12","14,742.07","14,742.07","13,169.51","698.63M","-6.00%"
"09/15/2019","14,742.07","15,110.37","15,127.26","14,694.27","539.92M","-2.44%"
"09/08/2019","15,110.37","14,933.18","15,117.49","14,879.24","370.00M","1.19%"
"09/01/2019","14,933.18","14,835.36","15,123.00","14,821.01","502.72M","0.66%"
"08/25/2019","14,835.36","14,333.16","14,838.48","14,239.91","726.36M","3.50%"
"08/18/2019","14,333.16","14,295.13","14,477.15","14,280.75","859.09M","0.27%"
"08/11/2019","14,295.13","14,180.44","14,540.56","14,180.44","267.91M","0.81%"
"08/04/2019","14,180.44","13,525.93","14,180.44","13,503.45","697.46M","4.84%"
"07/28/2019","13,525.93","13,510.06","13,562.68","13,212.36","497.14M","0.12%"
"07/21/2019","13,510.06","13,670.27","13,699.47","13,510.06","311.30M","-1.17%"
"07/14/2019","13,670.27","13,813.56","13,881.38","13,520.82","524.27M","-1.04%"
"07/07/2019","13,813.56","13,997.40","14,145.35","13,812.58","961.36M","-1.31%"
"06/30/2019","13,997.40","14,100.74","14,178.31","13,996.04","541.50M","-0.73%"
"06/23/2019","14,100.74","14,043.42","14,150.08","13,814.81","683.01M","0.41%"
"06/16/2019","14,043.42","14,180.53","14,268.63","14,028.04","364.25M","-0.97%"
"06/09/2019","14,180.53","13,787.80","14,286.63","13,785.29","515.66M","2.85%"
"06/02/2019","13,787.80","13,771.31","13,787.80","13,683.82","113.36M","0.12%"
"05/26/2019","13,771.31","13,776.85","14,087.17","13,771.31","440.82M","-0.04%"
"05/19/2019","13,776.85","13,659.73","13,783.18","13,377.16","287.12M","0.86%"
"05/12/2019","13,659.73","14,060.00","14,165.69","13,643.44","319.21M","-2.85%"
"05/05/2019","14,060.00","14,880.39","14,882.64","13,821.75","338.68M","-5.51%"
"04/28/2019","14,880.39","14,770.27","14,977.86","14,770.27","77.64M","0.75%"
"04/21/2019","14,770.27","14,876.37","14,896.50","14,635.35","200.91M","-0.71%"
"04/14/2019","14,876.37","15,105.96","15,159.23","14,852.71","389.00M","-1.52%"
"04/07/2019","15,105.96","15,247.81","15,262.12","15,012.91","635.52M","-0.93%"
"03/31/2019","15,247.81","14,665.81","15,257.58","14,665.81","564.11M","3.97%"
"03/24/2019","14,665.81","14,782.81","14,899.05","14,469.78","669.02M","-0.79%"
"03/17/2019","14,782.81","14,991.34","15,083.28","14,603.88","591.42M","-1.39%"
"03/10/2019","14,991.34","14,904.03","15,209.09","14,904.03","1.19B","0.59%"
"03/03/2019","14,904.03","14,803.97","14,936.62","14,641.86","794.38M","0.68%"
"02/24/2019","14,803.97","15,146.71","15,146.71","14,772.34","1.29B","-2.26%"
"02/17/2019","15,146.71","14,984.46","15,321.23","14,984.46","1.10B","1.08%"
"02/10/2019","14,984.46","14,753.68","15,076.46","14,745.67","728.27M","1.56%"
"02/03/2019","14,753.68","14,126.68","14,810.00","14,126.68","3.03B","4.44%"
"01/27/2019","14,126.68","13,506.65","14,152.11","13,505.99","949.06M","4.59%"
"01/20/2019","13,506.65","13,482.99","13,622.31","13,385.39","327.63M","0.18%"
"01/13/2019","13,482.99","13,367.44","13,581.11","13,335.75","513.06M","0.86%"
