"Date","Price","Open","High","Low","Vol.","Change %"
"12/17/2023","10.000","10.000","10.000","10.000","142.93K","0.00%"
"12/10/2023","10.000","10.000","10.000","10.000","1.04M","0.00%"
"12/03/2023","10.000","10.000","10.000","10.000","45.01K","0.00%"
"11/26/2023","10.000","9.060","10.000","9.060","154.63K","11.11%"
"11/19/2023","9.000","9.000","9.000","9.000","5.25K","2.86%"
"11/12/2023","8.750","7.500","8.750","7.500","12.42K","16.67%"
"08/13/2023","7.500","7.500","7.500","7.500","5.64K","0.00%"
"08/06/2023","7.500","7.500","7.500","7.500","97.03K","-3.23%"
"07/30/2023","7.750","7.750","7.750","7.750","0.32K","-3.13%"
"07/23/2023","8.000","7.200","8.000","7.200","5.70K","0.00%"
"03/26/2023","8.000","8.000","8.000","8.000","5.76K","0.00%"
"11/06/2022","8.000","8.000","8.000","8.000","56.26K","0.00%"
"10/30/2022","8.000","8.000","8.000","8.000","115.52K","0.00%"
"09/25/2022","8.000","7.980","8.000","7.980","109.40K","0.25%"
"09/18/2022","7.980","7.980","7.980","7.980","13.05K","0.76%"
"09/11/2022","7.920","7.920","7.920","7.920","94.42K","0.00%"
"09/04/2022","7.920","8.000","8.000","7.900","429.05K","-1.00%"
"08/28/2022","8.000","8.000","8.000","8.000","1.25M","0.00%"
"08/21/2022","8.000","8.000","8.000","8.000","200.01K","0.00%"
"08/14/2022","8.000","8.000","8.000","8.000","0.68K","0.00%"
"08/07/2022","8.000","8.000","8.000","8.000","1.92K","0.00%"
"07/31/2022","8.000","8.000","8.000","8.000","0.17K","0.00%"
"07/03/2022","8.000","8.000","8.000","8.000","0.11K","0.00%"
"06/19/2022","8.000","8.000","8.000","8.000","200.06K","0.00%"
"06/12/2022","8.000","8.000","8.000","8.000","160.51K","0.00%"
"06/05/2022","8.000","8.000","8.000","8.000","51.70K","0.00%"
"05/29/2022","8.000","8.000","8.000","8.000","0.16K","0.00%"
"05/08/2022","8.000","8.000","8.000","8.000","0.23K","0.00%"
"04/24/2022","8.000","8.000","8.000","8.000","42.76K","0.00%"
"03/27/2022","8.000","8.000","8.000","8.000","10.84K","0.00%"
"03/20/2022","8.000","8.000","8.000","8.000","2.12K","0.00%"
"03/13/2022","8.000","8.000","8.000","8.000","4.28K","0.00%"
"03/06/2022","8.000","8.000","8.000","8.000","6.00K","0.00%"
"02/27/2022","8.000","8.000","8.000","8.000","4.14K","-3.61%"
"02/20/2022","8.300","8.000","8.300","6.810","2.32M","3.75%"
"02/13/2022","8.000","8.000","8.000","8.000","8.50K","0.00%"
"01/30/2022","8.000","8.000","8.000","8.000","0.76K","0.00%"
"01/23/2022","8.000","7.500","8.000","7.500","9.16K","0.00%"
"11/21/2021","8.000","8.000","8.000","8.000","13.71K","1.91%"
"09/12/2021","7.850","7.850","7.850","7.850","0.41K","-1.26%"
"08/29/2021","7.950","7.950","7.950","7.950","26.41K","0.00%"
"08/15/2021","7.950","7.900","7.950","7.900","18.02K","0.00%"
"08/01/2021","7.950","7.630","7.950","7.630","107.01K","1.27%"
"07/25/2021","7.850","7.850","7.850","7.810","300.75K","-3.09%"
