"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2023","14.200","14.260","14.260","13.900","5.42K","-1.39%"
"12/24/2023","14.400","13.000","14.400","13.000","195.39K","10.77%"
"12/17/2023","13.000","11.900","13.000","11.900","51.61K","8.33%"
"12/10/2023","12.000","12.150","12.150","11.700","1.60M","-1.15%"
"12/03/2023","12.140","12.140","12.140","12.140","11.19K","-2.80%"
"11/26/2023","12.490","11.500","12.490","11.500","2.66K","8.89%"
"11/19/2023","11.470","11.890","11.890","11.200","252.20K","-3.53%"
"11/12/2023","11.890","11.500","11.890","11.500","28.88K","3.39%"
"11/05/2023","11.500","11.200","11.500","11.200","0.96K","0.00%"
"10/29/2023","11.500","10.970","11.500","10.970","1.64K","1.77%"
"10/22/2023","11.300","11.300","11.300","11.300","20.06K","0.00%"
"10/15/2023","11.300","10.990","11.300","10.800","316.90K","0.00%"
"10/08/2023","11.300","11.350","11.350","11.300","1.17K","-3.42%"
"10/01/2023","11.700","11.700","11.700","11.700","0.84K","-2.26%"
"09/10/2023","11.970","11.970","11.970","11.970","0.68K","0.17%"
"09/03/2023","11.950","11.950","11.950","11.950","0.46K","-0.42%"
"08/27/2023","12.000","11.350","12.000","11.350","10.09K","4.35%"
"08/20/2023","11.500","11.800","11.800","11.500","1.04M","-4.17%"
"08/13/2023","12.000","11.400","12.000","11.400","4.34K","6.19%"
"08/06/2023","11.300","11.130","11.300","11.000","2.54M","-0.26%"
"07/30/2023","11.330","11.380","11.390","11.330","5.88K","2.53%"
"07/16/2023","11.050","10.910","11.050","10.910","0.70K","0.45%"
"07/09/2023","11.000","11.000","11.000","11.000","0.56K","0.00%"
"07/02/2023","11.000","11.000","11.000","11.000","1.87K","0.00%"
"06/25/2023","11.000","11.000","11.000","11.000","1.00M","-0.72%"
"06/04/2023","11.080","11.060","11.080","11.060","58.08K","0.18%"
"05/28/2023","11.060","11.200","11.200","11.060","0.98K","-1.69%"
"05/14/2023","11.250","11.230","11.250","11.230","2.34K","0.00%"
"05/07/2023","11.250","11.250","11.250","11.250","0.96K","0.00%"
"04/30/2023","11.250","11.000","11.250","11.000","1.58M","0.09%"
"04/23/2023","11.240","11.100","11.240","11.000","321.71K","2.18%"
"04/16/2023","11.000","10.800","11.000","10.550","2.03M","-1.79%"
"04/09/2023","11.200","10.900","11.200","10.900","0.77K","0.00%"
"04/02/2023","11.200","11.200","11.200","11.200","40.19K","0.00%"
"03/26/2023","11.200","11.200","11.200","11.200","47.91K","0.00%"
"03/19/2023","11.200","11.200","11.200","11.200","5.96K","0.00%"
"03/12/2023","11.200","11.100","11.200","11.100","3.03K","0.00%"
"02/26/2023","11.200","10.790","11.200","10.790","875.53K","1.82%"
"02/19/2023","11.000","11.310","11.310","11.000","0.66K","-2.74%"
"02/12/2023","11.310","11.500","11.500","11.310","2.21K","-3.25%"
"02/05/2023","11.690","11.690","11.690","11.690","1.01K","-0.09%"
"01/22/2023","11.700","11.700","11.700","11.700","0.75K","-0.85%"
"01/15/2023","11.800","11.800","11.800","11.800","2.04K","0.00%"
"01/08/2023","11.800","11.530","11.800","11.530","30.09K","2.43%"
"01/01/2023","11.520","11.800","11.800","11.510","11.68K","-4.00%"
"12/25/2022","12.000","11.440","12.000","11.440","51.89K","4.99%"
"12/18/2022","11.430","11.400","11.430","11.310","24.55K","-1.21%"
"12/11/2022","11.570","11.590","11.650","11.570","3.66K","-0.26%"
"12/04/2022","11.600","11.600","11.600","11.600","1.33K","-0.68%"
"11/27/2022","11.680","11.340","11.680","11.340","1.77K","-0.09%"
"11/20/2022","11.690","11.700","11.700","11.690","2.72K","-2.58%"
"11/13/2022","12.000","12.000","12.010","11.920","201.19K","0.00%"
"11/06/2022","12.000","11.990","12.000","11.850","116.13K","0.08%"
"10/30/2022","11.990","11.950","11.990","11.950","2.19K","-0.08%"
"10/23/2022","12.000","11.980","12.000","11.800","189.42K","0.17%"
"10/16/2022","11.980","11.980","11.980","11.980","1.06K","-0.08%"
"10/09/2022","11.990","12.100","12.100","11.990","241.99K","-1.72%"
"10/02/2022","12.200","12.310","12.310","11.990","211.76K","0.16%"
"09/25/2022","12.180","12.310","12.310","12.180","1.51K","-4.02%"
"09/11/2022","12.690","12.700","12.700","12.670","1.71K","-1.32%"
"09/04/2022","12.860","12.950","12.950","12.850","152.11K","-2.58%"
"08/28/2022","13.200","12.860","13.910","12.850","2.51M","2.64%"
"08/21/2022","12.860","12.910","12.910","12.880","1.51K","-0.39%"
"08/14/2022","12.910","12.890","12.910","12.890","2.26K","0.23%"
"08/07/2022","12.880","12.880","12.900","12.880","2.39K","-0.16%"
"07/31/2022","12.900","12.990","13.000","12.890","5.21K","0.78%"
"07/24/2022","12.800","12.840","12.840","12.800","4.26K","-1.16%"
"07/17/2022","12.950","13.000","13.000","12.900","5.56K","0.39%"
"07/10/2022","12.900","12.860","12.900","12.860","11.97K","0.31%"
"07/03/2022","12.860","13.030","13.030","12.830","7.28K","-3.81%"
"06/26/2022","13.370","13.570","13.570","13.250","31.71K","-4.50%"
"06/12/2022","14.000","14.750","14.750","14.000","2.42K","-5.08%"
"06/05/2022","14.750","15.550","15.550","14.750","3.65K","-7.81%"
"05/29/2022","16.000","15.860","16.000","15.860","182.54K","-1.23%"
"05/22/2022","16.200","15.750","16.200","15.300","54.26K","0.00%"
"05/15/2022","16.200","15.750","16.200","15.750","51.90K","1.57%"
"05/08/2022","15.950","15.200","16.000","15.130","74.42K","-0.31%"
"05/01/2022","16.000","15.250","16.210","15.070","30.42K","3.90%"
"04/24/2022","15.400","14.600","15.400","14.000","125.24K","2.60%"
"04/17/2022","15.010","15.330","15.330","15.000","11.92K","-4.09%"
"04/10/2022","15.650","16.550","16.550","15.650","8.17K","-5.15%"
"04/03/2022","16.500","17.000","17.190","16.500","6.21K","-2.94%"
"03/27/2022","17.000","18.000","18.000","16.800","29.95K","-3.63%"
"03/20/2022","17.640","17.750","18.050","17.640","20.49K","-2.27%"
"03/13/2022","18.050","18.200","18.200","18.050","7.16K","-0.82%"
"03/06/2022","18.200","18.250","18.250","17.340","9.30K","0.00%"
"02/27/2022","18.200","18.800","18.800","18.200","7.58K","-3.19%"
"02/20/2022","18.800","19.080","19.080","18.120","28.43K","-2.08%"
"02/13/2022","19.200","20.550","21.000","19.200","57.00K","-6.52%"
"02/06/2022","20.540","21.900","21.950","20.500","24.19K","-6.21%"
"01/30/2022","21.900","17.950","23.000","17.950","78.90K","21.67%"
"01/23/2022","18.000","15.900","18.000","15.200","64.16K","13.78%"
"01/16/2022","15.820","15.990","15.990","15.130","57.80K","-0.50%"
