"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2023","46.110","46.630","46.710","43.670","5.75M","-1.28%"
"12/24/2023","46.710","45.490","46.860","45.340","3.06M","2.48%"
"12/17/2023","45.580","45.320","46.870","44.450","5.32M","0.29%"
"12/10/2023","45.450","42.450","47.030","42.010","10.08M","6.62%"
"12/03/2023","42.630","41.260","42.970","40.700","5.62M","3.27%"
"11/26/2023","41.280","41.410","42.940","40.630","9.81M","-2.04%"
"11/19/2023","42.140","41.520","42.560","40.090","4.01M","1.40%"
"11/12/2023","41.560","39.130","42.210","38.800","13.08M","6.05%"
"11/05/2023","39.190","39.040","40.660","38.860","7.54M","0.23%"
"10/29/2023","39.100","36.290","40.720","35.370","9.51M","8.31%"
"10/22/2023","36.100","34.810","36.700","33.280","9.36M","2.64%"
"10/15/2023","35.170","35.710","36.870","34.790","11.38M","-1.48%"
"10/08/2023","35.700","34.950","36.780","34.060","7.09M","2.09%"
"10/01/2023","34.970","34.340","35.860","32.780","7.79M","2.04%"
"09/24/2023","34.270","35.700","36.010","34.110","7.05M","-3.90%"
"09/17/2023","35.660","35.820","36.930","35.310","6.22M","-0.94%"
"09/10/2023","36.000","36.050","36.890","35.640","16.97M","0.47%"
"09/03/2023","35.830","36.800","37.250","35.430","6.94M","-2.72%"
"08/27/2023","36.830","36.620","38.200","36.250","38.99M","0.99%"
"08/20/2023","36.470","37.000","37.760","36.350","8.22M","-1.35%"
"08/13/2023","36.970","37.570","38.520","36.690","9.11M","-0.88%"
"08/06/2023","37.300","39.760","40.830","37.060","12.63M","-7.14%"
"07/30/2023","40.170","40.800","41.220","38.200","6.34M","-1.98%"
"07/23/2023","40.980","41.650","42.480","40.430","3.93M","-2.27%"
"07/16/2023","41.930","41.010","43.180","40.510","4.40M","2.54%"
"07/09/2023","40.890","40.600","42.480","40.300","7.04M","-0.51%"
"07/02/2023","41.100","40.590","42.470","38.930","6.59M","1.08%"
"06/25/2023","40.660","41.660","42.440","40.060","6.59M","-2.42%"
"06/18/2023","41.670","44.130","44.160","41.000","3.43M","-4.38%"
"06/11/2023","43.580","43.970","45.200","43.360","17.81M","-1.04%"
"06/04/2023","44.040","41.580","44.240","41.500","7.73M","6.12%"
"05/28/2023","41.500","40.670","41.940","38.020","16.95M","1.87%"
"05/21/2023","40.740","41.750","42.630","39.600","7.61M","-2.54%"
"05/14/2023","41.800","43.140","43.680","41.520","5.73M","-2.59%"
"05/07/2023","42.910","42.800","44.130","41.920","6.15M","0.12%"
"04/30/2023","42.860","43.080","43.540","41.520","4.54M","-2.06%"
"04/23/2023","43.760","40.690","43.990","39.500","6.19M","7.54%"
"04/16/2023","40.690","38.900","41.020","38.430","6.70M","4.39%"
"04/09/2023","38.980","39.170","40.220","38.050","5.96M","0.57%"
"04/02/2023","38.760","38.770","40.300","38.080","3.15M","0.03%"
