"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2023","86.000","86.000","86.000","86.000","0.14K","-2.27%"
"12/24/2023","88.000","88.000","88.000","88.000","1.87K","0.00%"
"12/17/2023","88.000","88.000","88.000","88.000","0.83K","0.00%"
"10/22/2023","88.000","88.000","88.000","88.000","11.34K","0.00%"
"09/10/2023","88.000","88.000","88.000","88.000","0.89K","0.00%"
"08/20/2023","88.000","86.400","88.000","86.400","0.34K","1.91%"
"08/06/2023","86.350","86.100","89.000","86.100","1.04K","-4.58%"
"07/30/2023","90.490","87.500","90.490","87.500","2.44K","6.46%"
"07/23/2023","85.000","85.000","85.000","85.000","0.30K","-1.16%"
"07/16/2023","86.000","86.000","86.000","86.000","6.62K","0.00%"
"07/09/2023","86.000","86.000","86.000","86.000","5.85K","4.34%"
"04/23/2023","82.420","82.420","82.420","82.420","0.82K","3.00%"
"04/16/2023","80.020","80.020","80.020","80.020","0.31K","0.02%"
"04/02/2023","80.000","80.000","80.000","80.000","0.64K","-1.23%"
"03/05/2023","81.000","81.000","81.000","81.000","0.41K","2.92%"
"02/19/2023","78.700","78.700","78.700","78.700","0.70K","0.25%"
"02/12/2023","78.500","78.500","78.500","78.500","238.53K","0.00%"
"02/05/2023","78.500","78.500","78.500","78.000","64.78K","1.95%"
"01/08/2023","77.000","77.000","77.000","77.000","0.45K","0.00%"
"12/25/2022","77.000","77.000","77.000","77.000","0.40K","1.99%"
"12/18/2022","75.500","75.500","75.500","75.500","293.19K","0.00%"
"12/04/2022","75.500","75.500","75.500","75.500","13.53K","0.60%"
"11/20/2022","75.050","75.050","75.050","75.050","0.65K","0.00%"
"11/13/2022","75.050","75.010","75.150","75.000","12.89K","0.07%"
"10/30/2022","75.000","75.000","75.000","75.000","169.50K","-2.60%"
"10/23/2022","77.000","75.000","77.000","75.000","55.42K","2.67%"
"10/16/2022","75.000","75.000","75.000","75.000","47.94K","2.74%"
"10/02/2022","73.000","73.000","73.000","73.000","16.00K","0.00%"
"09/18/2022","73.000","73.000","73.000","73.000","1.22K","-2.54%"
"09/11/2022","74.900","75.000","75.000","74.900","33.28K","-4.83%"
"09/04/2022","78.700","78.700","78.700","78.700","2.06K","2.86%"
"08/28/2022","76.510","76.510","76.510","76.510","0.39K","-2.78%"
"08/21/2022","78.700","78.700","78.700","78.010","9.44K","0.01%"
"08/07/2022","78.690","78.700","78.700","78.690","1.37K","-0.01%"
"07/31/2022","78.700","78.700","78.700","78.700","0.82K","0.00%"
"07/24/2022","78.700","78.700","78.700","78.700","0.88K","0.00%"
"07/17/2022","78.700","78.700","78.700","78.700","0.74K","0.00%"
"07/10/2022","78.700","78.700","78.700","78.700","0.51K","0.00%"
"07/03/2022","78.700","78.700","78.700","78.700","0.55K","0.25%"
"06/26/2022","78.500","79.000","79.990","78.500","3.33K","-1.91%"
"06/19/2022","80.030","90.000","94.200","76.510","12.19K","-11.18%"
"06/12/2022","90.100","91.000","95.520","88.750","6.56K","2.39%"
"06/05/2022","88.000","84.010","88.000","84.010","2.15K","7.25%"
"05/29/2022","82.050","79.950","82.050","79.950","1.52K","2.81%"
"05/22/2022","79.810","79.810","79.810","79.810","0.82K","0.01%"
"05/01/2022","79.800","78.300","79.800","78.300","1.91K","4.93%"
"04/24/2022","76.050","76.050","76.050","76.050","0.34K","0.69%"
"03/20/2022","75.530","75.500","75.560","75.500","1.45K","0.04%"
"03/13/2022","75.500","75.500","75.500","75.500","2.41K","0.00%"
"03/06/2022","75.500","75.500","75.500","75.500","8.71K","-0.04%"
"02/27/2022","75.530","76.010","76.010","75.500","3.03K","0.04%"
"02/20/2022","75.500","75.500","75.500","75.500","2.98K","0.00%"
"01/30/2022","75.500","75.500","75.500","75.500","1.33K","0.00%"
"01/23/2022","75.500","76.290","76.300","75.500","2.15K","-1.05%"
"01/16/2022","76.300","76.990","76.990","76.300","1.94K","-0.91%"
"01/09/2022","77.000","77.000","77.000","77.000","","0.00%"
"01/02/2022","77.000","78.000","78.000","77.000","1.53K","-1.28%"
"12/26/2021","78.000","78.000","78.000","78.000","2.95K","0.65%"
"12/19/2021","77.500","77.540","77.540","77.500","1.04K","-1.90%"
"12/12/2021","79.000","78.550","79.000","78.550","1.54K","-1.19%"
"12/05/2021","79.950","79.950","79.950","79.950","0.97K","1.85%"
"11/28/2021","78.500","78.500","78.500","78.500","1.44K","-1.83%"
"11/21/2021","79.960","78.000","80.000","78.000","15.84K","-0.04%"
"11/07/2021","79.990","80.000","80.000","79.990","1.26K","-0.01%"
"10/24/2021","80.000","80.000","80.000","80.000","0.75K","0.00%"
"10/17/2021","80.000","80.000","80.000","80.000","0.79K","0.00%"
"10/10/2021","80.000","80.000","80.000","80.000","0.99K","0.00%"
"10/03/2021","80.000","79.970","80.000","79.970","1.30K","3.90%"
"09/26/2021","77.000","77.000","77.000","77.000","0.89K","1.18%"
"09/12/2021","76.100","76.100","76.100","76.100","0.44K","0.21%"
"09/05/2021","75.940","75.940","75.940","75.940","0.71K","0.00%"
"08/29/2021","75.940","75.940","75.940","75.940","1.64K","-3.00%"
"08/01/2021","78.290","70.500","78.310","70.500","4.89K","11.05%"
"07/25/2021","70.500","66.500","70.500","66.000","2.50K","6.02%"
"07/18/2021","66.500","66.500","66.500","66.500","0.92K","0.00%"
"07/11/2021","66.500","66.500","66.500","66.500","0.76K","0.00%"
"07/04/2021","66.500","66.500","66.500","66.500","0.95K","0.00%"
"06/27/2021","66.500","67.530","69.390","65.800","2.42K","-4.14%"
"06/20/2021","69.370","69.370","69.370","69.370","","0.00%"
"06/13/2021","69.370","69.500","69.500","67.500","1.97K","2.79%"
"06/06/2021","67.490","63.000","67.500","63.000","3.25K","8.85%"
"05/30/2021","62.000","62.000","63.000","59.000","31.48K","-1.59%"
"05/23/2021","63.000","66.830","68.900","63.000","6.29K","-8.56%"
"05/16/2021","68.900","67.600","68.970","66.410","1.76M","-1.57%"
"05/09/2021","70.000","67.000","71.000","67.000","11.22K","1.88%"
"05/02/2021","68.710","69.000","80.000","68.710","29.84K","-0.42%"
"04/25/2021","69.000","69.000","69.000","69.000","14.53K","0.00%"
"04/18/2021","69.000","69.000","69.000","69.000","7.94K","0.00%"
"04/11/2021","69.000","69.000","69.000","69.000","2.39K","0.73%"
"04/04/2021","68.500","68.500","68.500","68.500","0.23K","3.79%"
"03/28/2021","66.000","66.000","66.000","66.000","6.36K","1.54%"
"03/07/2021","65.000","65.000","65.000","65.000","0.78K","3.45%"
"02/21/2021","62.830","61.000","62.830","61.000","0.43K","3.00%"
"02/07/2021","61.000","58.000","61.000","58.000","9.26K","8.93%"
"01/10/2021","56.000","56.000","56.000","56.000","0.38K","3.09%"
"12/20/2020","54.320","54.320","54.320","54.320","0.32K","-3.00%"
"12/13/2020","56.000","56.000","56.000","56.000","0.38K","0.00%"
"11/29/2020","56.000","56.000","56.000","56.000","0.69K","1.47%"
"10/25/2020","55.190","55.190","55.190","55.190","0.28K","0.00%"
"10/18/2020","55.190","55.190","55.190","55.190","0.44K","0.00%"
"10/11/2020","55.190","55.190","55.190","55.190","0.41K","0.00%"
"09/27/2020","55.190","55.190","55.190","55.190","0.39K","0.00%"
"08/30/2020","55.190","55.190","55.190","55.190","0.21K","19.98%"
"08/16/2020","46.000","46.000","46.000","46.000","0.56K","11.92%"
"07/19/2020","41.100","40.270","41.100","40.270","2.25K","5.12%"
