"Date","Price","Open","High","Low","Vol.","Change %"
"12/17/2023","82.000","82.000","82.000","82.000","0.62K","0.00%"
"12/10/2023","82.000","82.000","82.000","82.000","","0.00%"
"12/03/2023","82.000","78.000","82.000","78.000","6.51K","5.13%"
"11/26/2023","78.000","73.000","78.000","67.990","5.54K","0.00%"
"11/12/2023","78.000","76.000","78.000","75.000","200.93K","0.00%"
"10/29/2023","78.000","78.000","78.000","78.000","","0.00%"
"10/22/2023","78.000","75.000","78.000","75.000","32.64K","4.00%"
"10/15/2023","75.000","75.000","75.000","75.000","10.01K","-3.85%"
"08/27/2023","78.000","78.000","78.000","78.000","394.65K","0.00%"
"07/23/2023","78.000","78.000","78.000","78.000","1.05K","1.30%"
"07/16/2023","77.000","77.000","77.000","77.000","1.58K","0.65%"
"07/02/2023","76.500","75.000","76.500","75.000","26.45K","0.00%"
"06/18/2023","76.500","76.500","76.500","76.500","0.48K","2.00%"
"06/11/2023","75.000","75.000","75.000","75.000","31.19K","0.00%"
"06/04/2023","75.000","75.000","75.000","75.000","27.89K","0.00%"
"05/14/2023","75.000","75.000","75.000","75.000","5.13K","0.00%"
"05/07/2023","75.000","75.000","75.000","75.000","0.20K","0.00%"
"03/26/2023","75.000","75.000","75.000","75.000","54.95K","0.00%"
"03/19/2023","75.000","75.000","75.000","75.000","1.06M","0.00%"
"02/19/2023","75.000","75.000","75.000","75.000","140.00K","0.00%"
"02/12/2023","75.000","75.000","75.000","75.000","7.26K","0.00%"
"01/22/2023","75.000","75.000","75.000","75.000","37.65K","0.00%"
"12/18/2022","75.000","72.000","75.000","72.000","7.20K","5.63%"
"12/11/2022","71.000","73.000","73.000","71.000","3.03K","-2.74%"
"11/20/2022","73.000","73.000","73.000","73.000","1.01M","0.00%"
"11/13/2022","73.000","73.000","73.000","73.000","0.15K","0.00%"
"10/09/2022","73.000","73.000","73.000","73.000","0.64K","7.35%"
"10/02/2022","68.000","68.000","68.000","68.000","31.26K","-6.85%"
"08/28/2022","73.000","73.000","73.000","73.000","1.50K","0.00%"
"08/21/2022","73.000","73.000","73.000","73.000","747.10K","0.00%"
"08/14/2022","73.000","73.000","73.000","73.000","75.00K","0.00%"
"08/07/2022","73.000","70.000","73.000","70.000","1.50K","0.00%"
"07/31/2022","73.000","73.000","73.000","73.000","1.50K","0.00%"
"07/17/2022","73.000","73.000","73.000","73.000","3.20K","0.00%"
"06/19/2022","73.000","73.000","73.000","73.000","5.06K","0.00%"
"06/12/2022","73.000","73.000","73.000","73.000","2.02K","0.00%"
"06/05/2022","73.000","73.000","73.000","73.000","14.99K","0.00%"
"05/29/2022","73.000","73.000","73.000","73.000","25.30K","0.00%"
"05/22/2022","73.000","73.000","73.000","73.000","19.39K","0.00%"
"05/15/2022","73.000","73.000","73.000","73.000","10.00K","0.00%"
"05/08/2022","73.000","73.000","73.000","73.000","","0.00%"
"05/01/2022","73.000","73.000","73.000","73.000","2.11K","0.00%"
"04/24/2022","73.000","73.000","73.000","73.000","1.36K","0.00%"
"03/27/2022","73.000","73.000","73.000","73.000","3.02M","1.39%"
"03/20/2022","72.000","72.500","72.500","72.000","25.01K","-0.69%"
"03/13/2022","72.500","72.500","72.500","72.500","11.74K","-0.68%"
"03/06/2022","73.000","73.000","73.000","73.000","1.80K","0.00%"
