"Date","Price","Open","High","Low","Vol.","Change %"
"05/29/2022","9.700","9.700","9.700","9.700","67.62K","-1.02%"
"05/22/2022","9.800","9.800","9.800","9.800","0.97K","0.00%"
"05/15/2022","9.800","9.800","9.800","9.800","50.04K","0.00%"
"05/08/2022","9.800","9.990","9.990","9.800","50.00K","-3.73%"
"01/30/2022","10.180","10.180","10.180","10.180","0.10K","0.00%"
"06/06/2021","10.180","10.180","10.180","10.180","0.01K","0.00%"
"04/25/2021","10.180","10.180","10.180","10.180","0.42K","0.00%"
"03/14/2021","10.180","10.180","10.180","10.180","0.79K","0.00%"
"04/19/2020","10.180","10.180","10.180","10.180","0.91K","0.00%"
"02/23/2020","10.180","10.180","10.180","10.180","1.46K","0.00%"
"11/11/2018","10.180","10.180","10.180","10.180","3.75K","0.20%"
"07/22/2018","10.160","10.160","10.160","10.160","","-0.20%"
"07/08/2018","10.180","10.180","10.180","10.180","80.70K","0.00%"
"07/01/2018","10.180","10.110","10.180","10.110","250.00K","0.69%"
"06/24/2018","10.110","10.110","10.180","10.110","300.00K","0.00%"
"06/17/2018","10.110","10.180","10.180","10.110","250.00K","0.10%"
"06/10/2018","10.100","10.140","10.150","10.100","250.00K","-0.39%"
"06/03/2018","10.140","10.110","10.140","10.090","250.00K","0.30%"
"05/27/2018","10.110","10.140","10.140","10.110","250.00K","-0.20%"
"05/20/2018","10.130","10.170","10.170","10.120","250.00K","-0.39%"
"05/13/2018","10.170","10.170","10.170","10.170","100.00K","0.00%"
"02/18/2018","10.170","10.170","10.170","10.170","25.50K","0.00%"
"01/21/2018","10.170","10.170","10.170","10.170","2.00K","-0.10%"
"12/03/2017","10.180","10.180","10.180","10.180","","0.00%"
"11/26/2017","10.180","10.180","10.180","10.180","","0.00%"
"11/19/2017","10.180","10.180","10.180","10.180","","0.00%"
"11/12/2017","10.180","10.180","10.180","10.180","","0.00%"
"11/05/2017","10.180","10.180","10.180","10.180","","0.00%"
"10/29/2017","10.180","10.180","10.180","10.180","","0.00%"
"10/22/2017","10.180","10.180","10.180","10.180","","0.00%"
"10/15/2017","10.180","10.180","10.180","10.180","","0.00%"
"10/08/2017","10.180","10.180","10.180","10.180","","0.00%"
"10/01/2017","10.180","10.180","10.180","10.180","","0.00%"
"09/24/2017","10.180","10.180","10.180","10.180","","0.00%"
"09/17/2017","10.180","10.180","10.180","10.180","","0.00%"
"09/10/2017","10.180","10.180","10.180","10.180","","0.00%"
"09/03/2017","10.180","10.180","10.180","10.180","","0.00%"
"08/27/2017","10.180","10.180","10.180","10.180","","0.00%"
"08/20/2017","10.180","10.180","10.180","10.180","200.03K","0.00%"
"08/13/2017","10.180","10.130","10.180","10.130","503.31K","1.39%"
"08/06/2017","10.040","10.050","10.050","9.910","500.13K","0.00%"
"07/30/2017","10.040","10.040","10.050","10.040","584.34K","-0.10%"
"07/23/2017","10.050","10.050","10.050","10.040","540.69K","-1.08%"
"07/16/2017","10.160","10.160","10.160","10.160","519.66K","0.00%"
"07/09/2017","10.160","10.090","10.160","10.090","519.66K","0.69%"
"07/02/2017","10.090","10.160","10.160","10.090","500.00K","-0.10%"
"06/25/2017","10.100","10.100","10.150","10.100","500.10K","-0.49%"
"06/18/2017","10.150","10.150","10.160","10.100","500.20K","-0.29%"
"06/11/2017","10.180","10.150","10.180","10.150","500.02K","0.20%"
"06/04/2017","10.160","10.130","10.160","10.110","500.01K","0.10%"
"05/28/2017","10.150","10.150","10.150","10.130","512.20K","-0.10%"
"05/21/2017","10.160","10.160","10.160","10.160","500.00K","-0.10%"
"05/14/2017","10.170","10.170","10.170","10.160","510.00K","0.79%"
"05/07/2017","10.090","10.170","10.170","10.090","200.15K","0.10%"
"04/30/2017","10.080","10.080","10.080","10.080","","0.00%"
"04/23/2017","10.080","10.080","10.080","10.080","","0.00%"
"04/16/2017","10.080","10.080","10.080","10.080","","0.00%"
"04/09/2017","10.080","10.080","10.080","10.080","","0.00%"
