"Date","Price","Open","High","Low","Vol.","Change %"
"11/20/2022","1.20","1.10","1.22","1.03","8.27M","8.11%"
"11/13/2022","1.11","1.25","1.34","1.00","2.35M","-11.90%"
"11/06/2022","1.26","1.41","1.49","1.09","1.87M","-10.64%"
"10/30/2022","1.41","1.64","1.66","1.39","755.04K","-12.96%"
"10/23/2022","1.62","1.81","1.81","1.61","571.28K","-10.00%"
"10/16/2022","1.80","1.72","1.86","1.70","1.07M","5.88%"
"10/09/2022","1.70","1.76","1.89","1.69","789.94K","-2.86%"
"10/02/2022","1.75","1.92","1.95","1.74","1.00M","-8.85%"
"09/25/2022","1.92","2.01","2.16","1.91","1.23M","-4.48%"
"09/18/2022","2.01","2.18","2.18","1.86","654.64K","-8.22%"
"09/11/2022","2.19","2.26","2.50","2.02","814.38K","0.46%"
"09/04/2022","2.18","1.74","2.18","1.65","689.93K","24.57%"
"08/28/2022","1.75","2.61","2.61","1.58","1.72M","-31.64%"
"08/21/2022","2.56","2.89","3.00","2.51","2.42M","-11.42%"
"08/14/2022","2.89","2.78","3.70","2.35","9.05M","3.96%"
"08/07/2022","2.78","15.57","15.57","0.83","44.79M","-81.79%"
"07/31/2022","15.27","15.99","16.45","15.20","771.96K","-4.32%"
"07/24/2022","15.96","16.27","16.67","15.19","692.21K","-2.15%"
"07/17/2022","16.31","15.95","16.50","14.87","1.02M","1.18%"
"07/10/2022","16.12","15.70","16.58","14.70","522.97K","1.32%"
"07/03/2022","15.91","16.84","17.40","14.95","590.28K","-3.75%"
"06/26/2022","16.53","18.90","18.92","16.20","1.67M","-12.45%"
"06/19/2022","18.88","17.15","18.91","17.14","727.65K","8.19%"
"06/12/2022","17.45","16.96","17.49","16.35","632.82K","2.77%"
"06/05/2022","16.98","16.90","18.13","16.06","877.72K","-0.18%"
"05/29/2022","17.01","16.75","17.80","16.58","984.04K","3.03%"
"05/22/2022","16.51","15.02","16.72","14.88","1.40M","8.62%"
"05/15/2022","15.20","16.65","17.50","14.64","1.85M","-10.80%"
"05/08/2022","17.04","18.02","18.59","16.53","688.04K","-6.43%"
"05/01/2022","18.21","18.04","18.50","17.08","780.06K","0.94%"
"04/24/2022","18.04","16.16","18.48","14.78","7.49M","11.63%"
"04/17/2022","16.16","18.26","19.47","15.02","1.51M","-13.30%"
"04/10/2022","18.64","18.46","19.75","15.81","2.88M","0.00%"
"04/03/2022","18.64","22.65","23.09","18.45","1.76M","-19.41%"
"03/27/2022","23.13","24.50","24.69","22.63","1.53M","-5.98%"
"03/20/2022","24.60","25.50","25.53","23.39","1.25M","-4.65%"
"03/13/2022","25.80","26.59","27.13","22.40","10.13M","-3.15%"
"03/06/2022","26.64","25.16","29.12","25.00","2.81M","4.51%"
"02/27/2022","25.49","23.71","26.98","23.24","3.17M","4.90%"
"02/20/2022","24.30","24.50","25.01","22.99","5.80M","-0.82%"
"02/13/2022","24.50","26.16","26.16","23.73","2.29M","-6.35%"
"02/06/2022","26.16","27.00","27.55","23.00","2.23M","-2.75%"
"01/30/2022","26.90","32.10","32.10","23.64","2.61M","-16.07%"
"01/23/2022","32.05","33.08","33.75","31.09","407.88K","-5.12%"
"01/16/2022","33.78","36.92","37.42","32.50","893.57K","-8.43%"
"01/09/2022","36.89","37.10","37.10","34.78","351.08K","-0.30%"
"01/02/2022","37.00","37.50","38.12","35.50","316.32K","-1.23%"
"12/26/2021","37.46","33.30","37.90","33.20","1.82M","12.46%"
"12/19/2021","33.31","34.04","34.20","31.95","248.18K","-2.03%"
"12/12/2021","34.00","34.65","34.99","32.50","199.09K","-1.73%"
"12/05/2021","34.60","35.16","35.18","33.15","1.48M","-1.23%"
"11/28/2021","35.03","33.37","35.20","32.00","1.03M","4.88%"
"11/21/2021","33.40","32.21","35.00","31.30","666.36K","3.99%"
"11/14/2021","32.12","32.50","32.55","31.79","615.11K","-1.05%"
"11/07/2021","32.46","33.65","33.70","31.46","1.02M","-3.74%"
"10/31/2021","33.72","31.62","34.00","31.00","1.81M","6.64%"
"10/24/2021","31.62","32.80","32.81","29.96","484.28K","-1.16%"
"10/17/2021","31.99","33.00","34.00","30.03","339.48K","-2.47%"
"10/10/2021","32.80","31.50","33.00","29.60","148.29K","4.13%"
"10/03/2021","31.50","30.20","32.00","28.00","291.51K","3.96%"
"09/26/2021","30.30","29.97","30.50","28.38","644.83K","1.10%"
"09/19/2021","29.97","29.70","30.00","28.87","1.40M","0.37%"
"09/12/2021","29.86","28.94","30.00","27.57","605.52K","3.18%"
"09/05/2021","28.94","29.45","29.95","28.11","723.74K","-1.90%"
"08/29/2021","29.50","26.94","29.56","26.94","173.44K","6.23%"
"08/22/2021","27.77","29.18","29.18","26.90","1.20M","-4.83%"
"08/15/2021","29.18","29.80","30.00","27.65","187.83K","-2.08%"
"08/08/2021","29.80","30.33","30.39","29.77","64.18K","-1.75%"
"08/01/2021","30.33","28.96","30.49","28.89","33.04K","4.73%"
"07/25/2021","28.96","30.38","30.38","28.30","132.04K","-5.05%"
"07/18/2021","30.50","28.60","31.49","28.60","124.52K","6.79%"
"07/11/2021","28.56","27.85","28.70","27.30","674.24K","2.55%"
"07/04/2021","27.85","28.95","28.95","26.09","846.93K","-3.40%"
"06/27/2021","28.83","29.64","30.50","28.26","746.17K","-2.96%"
"06/20/2021","29.71","28.63","29.78","26.81","1.31M","2.73%"
"06/13/2021","28.92","30.12","30.99","28.50","302.44K","-4.55%"
"06/06/2021","30.30","26.89","30.51","26.89","1.06M","12.35%"
"05/30/2021","26.97","23.45","27.37","23.45","494.03K","14.72%"
"05/23/2021","23.51","21.61","23.70","20.00","1.10M","9.04%"
"05/16/2021","21.56","24.17","24.64","21.11","2.39M","-10.13%"
"05/09/2021","23.99","23.70","24.65","23.02","995.69K","1.19%"
"05/02/2021","23.71","22.93","23.82","22.32","591.13K","4.26%"
"04/25/2021","22.74","24.73","24.73","21.29","1.14M","-8.06%"
"04/18/2021","24.73","26.13","26.31","24.15","432.70K","-4.45%"
"04/11/2021","25.89","24.84","26.58","23.95","413.52K","4.90%"
"04/04/2021","24.68","25.16","26.83","24.20","212.92K","-5.35%"
"03/28/2021","26.07","24.72","26.83","24.19","399.16K","6.10%"
"03/21/2021","24.57","25.60","25.64","23.23","1.39M","-3.13%"
"03/14/2021","25.36","25.63","26.13","24.86","458.74K","-0.83%"
"03/07/2021","25.58","24.68","26.13","24.22","655.65K","4.10%"
"02/28/2021","24.57","24.25","25.27","24.00","819.89K","1.52%"
"02/21/2021","24.20","25.20","25.20","23.82","645.59K","-2.34%"
"02/14/2021","24.78","24.70","26.18","23.39","519.01K","0.39%"
"02/07/2021","24.69","24.00","24.77","23.71","1.28M","3.28%"
"01/31/2021","23.90","24.88","25.29","23.22","626.17K","-3.85%"
"01/24/2021","24.86","26.42","26.42","23.97","417.36K","-5.97%"
"01/17/2021","26.44","28.07","28.55","25.70","305.90K","-5.79%"
"01/10/2021","28.06","27.14","28.06","26.46","94.19K","3.39%"
"01/03/2021","27.14","27.33","27.83","25.16","160.45K","-0.57%"
"12/27/2020","27.30","25.50","27.58","25.16","365.17K","7.26%"
"12/20/2020","25.45","25.47","25.47","24.34","164.23K","0.57%"
"12/13/2020","25.31","25.16","25.83","25.07","516.11K","0.58%"
"12/06/2020","25.16","25.55","25.96","24.87","299.71K","-1.52%"
"11/29/2020","25.55","24.19","25.81","23.99","350.66K","5.39%"
"11/22/2020","24.24","22.86","24.48","22.62","73.97K","6.37%"
"11/15/2020","22.79","20.91","22.84","20.91","68.85K","9.59%"
"11/08/2020","20.80","18.24","21.10","18.24","423.89K","13.76%"
"11/01/2020","18.28","17.81","18.42","17.72","1.19M","2.66%"
"10/25/2020","17.81","17.80","18.29","17.46","360.97K","0.27%"
"10/18/2020","17.76","17.56","17.96","17.39","282.42K","1.38%"
"10/11/2020","17.52","17.81","17.81","17.44","210.02K","-1.47%"
"10/04/2020","17.78","17.81","18.19","17.32","115.63K","0.16%"
"09/27/2020","17.75","18.26","18.26","17.47","381.85K","0.77%"
"09/20/2020","17.61","17.61","18.62","17.17","298.98K","-0.22%"
"09/13/2020","17.65","17.90","18.41","16.50","754.46K","-1.41%"
"09/06/2020","17.90","18.23","18.29","17.32","569.62K","-1.91%"
"08/30/2020","18.25","18.00","18.39","17.71","423.84K","2.67%"
"08/23/2020","17.78","17.86","18.04","17.32","168.89K","-1.13%"
"08/16/2020","17.98","18.58","18.68","17.83","396.12K","-2.52%"
"08/09/2020","18.44","18.10","19.35","18.10","1.09M","2.31%"
"08/02/2020","18.03","17.29","18.62","17.12","279.54K","4.65%"
"07/26/2020","17.23","17.25","17.45","16.48","414.51K","-1.05%"
"07/19/2020","17.41","17.06","17.72","16.86","629.15K","1.40%"
"07/12/2020","17.17","17.41","18.18","16.31","640.50K","-1.27%"
"07/05/2020","17.39","17.87","18.67","16.84","1.02M","-2.68%"
"06/28/2020","17.87","16.47","18.73","16.29","1.90M","8.37%"
"06/21/2020","16.49","16.17","17.06","16.17","5.58M","1.95%"
"06/14/2020","16.17","16.19","17.06","15.68","1.46M","-0.59%"
"06/07/2020","16.27","16.91","17.04","15.33","1.86M","-1.57%"
"05/31/2020","16.53","15.34","17.14","14.33","5.94M","7.21%"
