"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2023","15.000","15.300","15.300","15.000","73.84K","-1.96%"
"12/24/2023","15.300","15.150","15.660","15.000","85.30K","0.66%"
"12/17/2023","15.200","15.000","15.200","14.900","71.64K","1.33%"
"12/10/2023","15.000","14.950","15.000","14.900","399.64K","0.33%"
"12/03/2023","14.950","15.000","15.000","14.950","3.58K","-0.33%"
"11/26/2023","15.000","14.800","15.000","14.800","34.31K","1.08%"
"11/19/2023","14.840","14.850","14.850","14.800","12.73K","-0.74%"
"11/12/2023","14.950","14.850","14.950","14.850","16.41K","0.00%"
"11/05/2023","14.950","14.950","14.950","14.800","61.70K","0.00%"
"10/29/2023","14.950","14.200","15.000","14.200","2.55M","2.40%"
"10/22/2023","14.600","14.500","14.650","14.300","67.09K","-0.34%"
"10/15/2023","14.650","14.650","14.650","14.500","1.51K","0.00%"
"10/08/2023","14.650","14.500","14.650","14.000","35.46K","1.03%"
"10/01/2023","14.500","14.500","14.500","14.300","167.03K","-0.68%"
"09/24/2023","14.600","14.450","14.600","13.990","25.79K","1.04%"
"09/17/2023","14.450","14.430","14.600","14.400","256.78K","0.35%"
"09/10/2023","14.400","14.400","14.430","14.400","209.63K","0.00%"
"09/03/2023","14.400","14.400","14.520","14.400","55.20K","0.00%"
"08/27/2023","14.400","14.060","14.460","14.060","545.04K","2.86%"
"08/20/2023","14.000","14.000","14.110","14.000","38.39K","0.00%"
"08/13/2023","14.000","14.000","14.100","14.000","389.35K","0.00%"
"08/06/2023","14.000","13.870","14.100","13.870","446.36K","0.00%"
"07/30/2023","14.000","14.010","14.160","14.000","1.83M","-0.07%"
"07/23/2023","14.010","13.900","14.010","13.900","148.26K","0.79%"
"07/16/2023","13.900","13.900","13.900","13.900","11.42K","-0.07%"
"07/09/2023","13.910","13.930","14.020","13.880","425.27K","-0.64%"
"07/02/2023","14.000","14.000","14.000","13.800","31.00K","0.00%"
"06/25/2023","14.000","14.170","14.170","13.890","8.02K","2.94%"
"06/18/2023","13.600","13.700","13.740","13.530","111.17K","-0.73%"
"06/11/2023","13.700","13.310","13.700","13.310","40.54K","0.00%"
"06/04/2023","13.700","13.680","13.740","13.650","389.56K","0.29%"
"05/28/2023","13.660","13.600","13.660","13.550","22.16K","-0.29%"
"05/21/2023","13.700","13.700","14.010","13.700","10.56K","0.37%"
"05/14/2023","13.650","13.300","13.650","13.300","159.26K","2.63%"
"05/07/2023","13.300","13.140","13.300","13.140","13.78K","0.76%"
"04/30/2023","13.200","13.100","13.200","12.860","39.53K","0.76%"
"04/23/2023","13.100","12.000","13.100","12.000","34.62K","3.97%"
"04/16/2023","12.600","12.600","12.600","12.600","7.98K","-0.40%"
"04/09/2023","12.650","12.620","12.700","12.620","17.49K","-0.39%"
"04/02/2023","12.700","12.700","12.700","12.700","0.80K","0.40%"
"03/26/2023","12.650","12.630","12.650","12.610","3.11M","-0.08%"
"03/19/2023","12.660","12.690","12.690","12.650","137.30K","-0.24%"
"03/12/2023","12.690","12.700","12.710","12.500","447.31K","-0.08%"
"03/05/2023","12.700","12.800","12.800","12.700","78.48K","-0.78%"
"02/26/2023","12.800","12.800","12.850","12.800","40.56K","0.00%"
"02/19/2023","12.800","12.600","12.860","12.600","803.02K","-0.39%"
"02/12/2023","12.850","12.800","12.860","12.800","60.39K","0.39%"
"02/05/2023","12.800","12.800","12.810","12.700","100.90K","-0.08%"
"01/29/2023","12.810","12.750","12.950","12.750","318.46K","0.08%"
"01/22/2023","12.800","12.800","12.800","12.700","118.96K","0.00%"
"01/15/2023","12.800","12.500","12.800","12.490","1.22M","0.79%"
"01/08/2023","12.700","12.850","12.850","12.700","17.53K","-2.01%"
"01/01/2023","12.960","12.990","12.990","12.960","0.57K","-0.23%"
"12/25/2022","12.990","13.000","13.000","12.500","2.07K","4.00%"
"12/18/2022","12.490","12.300","12.490","12.000","248.96K","1.54%"
"12/11/2022","12.300","12.300","12.400","12.300","198.84K","0.00%"
"12/04/2022","12.300","12.000","12.400","12.000","11.82K","0.00%"
"11/27/2022","12.300","12.000","12.300","12.000","86.94K","1.65%"
"11/20/2022","12.100","12.100","12.120","11.990","132.96K","-0.82%"
"11/13/2022","12.200","12.200","12.300","12.200","111.80K","-0.81%"
"11/06/2022","12.300","12.300","12.300","12.200","26.64K","0.00%"
"10/30/2022","12.300","12.300","12.490","12.200","56.74K","-0.40%"
"10/23/2022","12.350","12.200","12.490","12.200","13.13K","-1.20%"
"10/16/2022","12.500","12.500","12.500","12.500","5.01K","0.00%"
"10/09/2022","12.500","12.000","12.500","12.000","3.52K","4.17%"
"10/02/2022","12.000","12.020","12.310","11.900","207.66K","-2.68%"
"09/25/2022","12.330","12.350","12.350","12.330","15.67K","-0.08%"
"09/18/2022","12.340","12.210","12.340","11.900","78.52K","0.00%"
"09/04/2022","12.340","12.300","12.400","12.010","191.62K","0.33%"
"08/28/2022","12.300","12.200","12.600","12.200","40.63M","-0.32%"
"08/21/2022","12.340","12.200","12.340","11.700","2.34M","1.15%"
"08/14/2022","12.200","12.200","12.300","12.200","100.23K","-1.13%"
"08/07/2022","12.340","12.200","12.340","11.670","103.84K","1.56%"
"07/31/2022","12.150","12.400","12.400","11.670","247.97K","-2.02%"
"07/24/2022","12.400","12.450","12.460","11.700","83.74K","-0.16%"
"07/17/2022","12.420","11.810","12.420","11.810","76.98K","1.31%"
"07/10/2022","12.260","12.150","12.260","11.910","16.59K","0.91%"
"07/03/2022","12.150","11.960","12.150","11.960","3.85K","2.10%"
"06/26/2022","11.900","12.150","12.150","11.900","46.15K","-2.06%"
"06/19/2022","12.150","12.120","12.150","12.000","28.61K","0.25%"
"06/12/2022","12.120","11.750","12.150","11.750","25.24K","-0.25%"
"06/05/2022","12.150","12.150","12.200","12.150","31.86K","0.00%"
"05/29/2022","12.150","12.000","12.350","12.000","33.57K","0.00%"
"05/22/2022","12.150","12.160","12.400","12.000","53.88K","-2.02%"
"05/15/2022","12.400","12.500","12.500","12.000","228.79K","-0.80%"
"05/08/2022","12.500","11.980","12.500","11.980","189.09K","4.17%"
"05/01/2022","12.000","11.950","12.000","11.900","129.00K","0.17%"
"04/24/2022","11.980","11.950","11.990","11.950","79.43K","-0.08%"
"04/17/2022","11.990","12.000","12.100","11.990","43.10K","-0.08%"
"04/03/2022","12.000","11.640","12.000","11.640","78.25K","0.00%"
"03/27/2022","12.000","12.000","12.000","12.000","2.06M","-1.23%"
"03/20/2022","12.150","12.000","12.150","11.650","102.72K","1.25%"
"03/13/2022","12.000","12.000","12.000","11.940","60.15K","0.42%"
"03/06/2022","11.950","11.610","12.570","11.610","46.87K","-0.17%"
"02/27/2022","11.970","11.970","11.970","11.910","203.45K","-3.00%"
"02/20/2022","12.340","11.820","12.340","11.820","592.37K","2.83%"
"02/13/2022","12.000","12.000","12.100","11.700","245.84K","0.00%"
"02/06/2022","12.000","11.900","12.150","11.900","325.45K","0.00%"
"01/30/2022","12.000","12.350","12.350","12.000","2.92M","0.00%"
"01/23/2022","12.000","12.000","12.000","12.000","63.85K","0.00%"
"01/16/2022","12.000","11.800","12.050","11.590","499.86K","0.00%"
"01/09/2022","12.000","12.450","12.750","12.000","2.33M","-3.69%"
"01/02/2022","12.460","12.000","12.500","11.850","7.55K","6.40%"
"12/26/2021","11.710","11.160","11.710","11.100","34.68K","5.02%"
"12/19/2021","11.150","11.100","11.360","11.100","50.97K","0.18%"
"12/12/2021","11.130","11.200","11.200","11.100","12.98K","-1.50%"
"12/05/2021","11.300","10.650","11.500","10.650","4.51M","3.96%"
"11/28/2021","10.870","10.500","10.990","10.500","3.50K","0.65%"
"11/21/2021","10.800","10.900","10.900","10.200","2.10M","-0.92%"
"11/14/2021","10.900","10.700","10.930","10.700","68.41K","-0.27%"
"11/07/2021","10.930","10.900","11.050","10.800","29.70K","-0.64%"
"10/31/2021","11.000","11.000","11.000","11.000","1.54K","0.00%"
"10/24/2021","11.000","10.950","11.000","10.650","14.45K","0.00%"
"10/17/2021","11.000","11.300","11.710","10.900","325.21K","-0.45%"
"10/10/2021","11.050","10.850","11.210","10.850","74.98K","0.91%"
"10/03/2021","10.950","10.950","10.960","10.900","80.27K","-0.45%"
"09/26/2021","11.000","10.330","11.300","10.330","373.82K","4.76%"
"09/19/2021","10.500","10.050","10.500","10.050","12.38K","4.69%"
"09/12/2021","10.030","10.050","10.060","10.000","40.31K","-0.20%"
"09/05/2021","10.050","10.090","10.090","10.010","8.33K","-0.50%"
"08/29/2021","10.100","9.850","10.180","9.600","1.61M","4.66%"
"08/22/2021","9.650","9.600","9.680","9.500","68.06K","-0.31%"
"08/15/2021","9.680","9.680","9.680","9.480","15.47K","0.00%"
"08/08/2021","9.680","9.650","9.940","9.580","22.79K","-1.22%"
