"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2023","59.080","56.750","59.320","55.780","8.44M","4.01%"
"12/24/2023","56.800","57.690","58.290","56.350","5.07M","-1.54%"
"12/17/2023","57.690","56.500","58.300","56.090","7.89M","1.89%"
"12/10/2023","56.620","53.880","57.250","53.810","25.03M","5.18%"
"12/03/2023","53.830","55.390","56.390","53.180","9.48M","-3.69%"
"11/26/2023","55.890","57.420","58.000","54.620","18.56M","-2.43%"
"11/19/2023","57.280","58.440","58.650","56.520","6.24M","-2.10%"
"11/12/2023","58.510","55.270","59.000","55.210","9.19M","5.25%"
"11/05/2023","55.590","57.790","59.380","53.870","9.49M","-3.20%"
"10/29/2023","57.430","54.950","58.630","53.140","8.17M","4.91%"
"10/22/2023","54.740","55.310","56.090","53.260","5.38M","-0.94%"
"10/15/2023","55.260","55.110","57.510","54.260","10.87M","0.44%"
"10/08/2023","55.020","53.280","57.810","52.220","7.10M","2.71%"
"10/01/2023","53.570","54.400","54.430","51.450","9.44M","-2.26%"
"09/24/2023","54.810","57.360","57.540","54.110","12.73M","-5.06%"
"09/17/2023","57.730","55.640","58.490","54.140","9.99M","4.13%"
"09/10/2023","55.440","53.390","56.840","53.200","13.89M","4.31%"
"09/03/2023","53.150","53.710","54.250","52.140","7.24M","0.13%"
"08/27/2023","53.080","53.020","55.670","52.410","10.48M","0.04%"
"08/20/2023","53.060","51.470","53.520","51.220","9.82M","2.00%"
"08/13/2023","52.020","51.910","53.200","50.520","9.62M","0.19%"
"08/06/2023","51.920","51.430","52.200","49.590","10.41M","1.86%"
"07/30/2023","50.970","53.090","53.240","48.880","13.49M","-3.83%"
"07/23/2023","53.000","55.390","57.100","52.920","10.04M","-4.18%"
"07/16/2023","55.310","55.020","56.470","54.020","4.91M","0.38%"
"07/09/2023","55.100","52.600","55.600","51.530","5.52M","6.06%"
"07/02/2023","51.950","51.990","53.680","50.910","6.40M","-0.13%"
"06/25/2023","52.020","51.960","53.160","50.050","11.73M","0.08%"
"06/18/2023","51.980","55.210","55.850","51.600","6.50M","-5.83%"
"06/11/2023","55.200","55.910","56.190","54.010","19.87M","-1.27%"
"06/04/2023","55.910","54.640","56.010","53.900","18.06M","3.25%"
"05/28/2023","54.150","57.520","57.950","53.250","12.53M","-5.84%"
"05/21/2023","57.510","58.790","59.190","56.090","8.40M","-2.14%"
"05/14/2023","58.770","59.550","60.240","58.160","9.49M","-1.39%"
"05/07/2023","59.600","58.940","60.290","58.100","15.84M","-2.84%"
"04/30/2023","61.340","59.010","61.900","57.890","27.51M","3.70%"
"04/23/2023","59.150","60.140","61.310","57.790","20.16M","-1.91%"
"04/16/2023","60.300","65.310","65.400","59.740","13.42M","-7.85%"
"04/09/2023","65.440","63.810","65.710","62.400","8.37M","2.36%"
"04/02/2023","63.930","65.510","65.560","63.360","4.85M","-2.55%"
"03/26/2023","65.600","64.830","66.280","62.090","12.97M","1.97%"
"03/19/2023","64.330","61.580","65.580","61.280","11.18M","6.72%"
"03/12/2023","60.280","67.970","68.700","59.610","23.02M","-12.54%"
"03/05/2023","68.920","72.300","72.970","68.540","9.82M","-4.67%"
"02/26/2023","72.300","68.000","72.620","67.170","17.21M","5.86%"
"02/19/2023","68.300","69.660","70.700","67.550","7.20M","-1.09%"
"02/12/2023","69.050","68.870","70.750","67.320","10.72M","1.19%"
"02/05/2023","68.240","72.500","72.980","65.440","16.26M","-5.88%"
"01/29/2023","72.500","75.370","76.990","68.810","12.09M","-3.32%"
"01/22/2023","74.990","69.740","77.680","68.710","9.82M","7.93%"
"01/15/2023","69.480","66.290","69.790","66.250","8.77M","4.28%"
"01/08/2023","66.630","64.450","67.370","63.930","8.72M","3.38%"
"01/01/2023","64.450","61.620","64.860","61.020","7.42M","4.71%"
"12/25/2022","61.550","63.990","63.990","61.000","4.14M","-2.75%"
"12/18/2022","63.290","60.930","64.000","60.400","8.88M","4.92%"
"12/11/2022","60.320","62.300","63.430","58.810","15.91M","-1.36%"
"12/04/2022","61.150","61.520","63.300","59.500","12.01M","0.03%"
"11/27/2022","61.130","60.300","66.620","58.450","121.85M","1.38%"
"11/20/2022","60.300","62.490","63.000","59.340","14.68M","-1.07%"
"11/13/2022","60.950","59.020","62.650","57.210","12.37M","3.01%"
"11/06/2022","59.170","58.000","61.310","55.980","17.64M","2.23%"
"10/30/2022","57.880","55.300","58.140","55.110","15.01M","4.89%"
"10/23/2022","55.180","55.220","56.790","53.670","15.01M","1.83%"
"10/16/2022","54.190","55.240","57.540","53.520","13.44M","-1.13%"
"10/09/2022","54.810","55.350","56.080","53.880","11.49M","-0.71%"
"10/02/2022","55.200","51.270","55.490","50.920","15.02M","8.43%"
"09/25/2022","50.910","48.980","51.310","48.090","14.77M","3.98%"
"09/18/2022","48.960","46.120","50.520","46.120","6.50M","1.72%"
"09/11/2022","48.130","45.750","48.300","45.750","8.25M","6.29%"
"09/04/2022","45.280","43.650","45.600","42.300","4.96M","4.40%"
"08/28/2022","43.370","44.300","44.440","41.400","8.57M","-2.74%"
"08/21/2022","44.590","45.920","49.000","44.080","7.59M","-3.51%"
"08/14/2022","46.210","46.870","47.190","45.700","7.32M","-1.39%"
"08/07/2022","46.860","46.210","48.110","45.800","7.60M","1.89%"
"07/31/2022","45.990","47.940","49.260","45.150","7.08M","-4.07%"
"07/24/2022","47.940","44.900","48.700","44.540","7.47M","6.58%"
"07/17/2022","44.980","43.520","46.100","43.360","7.25M","3.62%"
"07/10/2022","43.410","43.490","44.980","42.340","8.86M","0.18%"
"07/03/2022","43.330","40.960","43.950","40.280","6.90M","6.91%"
"06/26/2022","40.530","41.000","42.390","39.740","9.57M","-1.15%"
"06/19/2022","41.000","39.990","41.620","38.860","8.26M","3.82%"
"06/12/2022","39.490","43.600","45.000","38.560","11.20M","-10.17%"
"06/05/2022","43.960","47.040","48.270","43.530","7.09M","-6.82%"
"05/29/2022","47.180","50.060","50.690","46.260","6.73M","-5.62%"
"05/22/2022","49.990","50.520","51.850","49.510","3.42M","-0.26%"
"05/15/2022","50.120","51.020","52.840","49.220","4.29M","-1.88%"
"05/08/2022","51.080","47.500","51.740","47.500","10.63M","6.37%"
"05/01/2022","48.020","50.510","53.770","47.720","4.10M","-4.70%"
"04/24/2022","50.390","52.050","53.100","50.010","6.19M","-3.19%"
"04/17/2022","52.050","52.500","53.520","50.620","4.11M","-0.93%"
"04/10/2022","52.540","53.230","53.770","51.510","1.29M","-1.68%"
"04/03/2022","53.440","54.230","55.480","53.030","6.27M","-1.46%"
"03/27/2022","54.230","54.960","56.000","53.500","8.62M","-0.62%"
"03/20/2022","54.570","52.000","54.870","50.100","10.22M","5.04%"
"03/13/2022","51.950","48.280","53.000","48.200","7.93M","7.40%"
