"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2023","34.490","35.130","35.800","33.210","3.15M","-1.85%"
"12/24/2023","35.140","34.600","35.890","34.140","2.13M","2.00%"
"12/17/2023","34.450","34.110","35.400","33.810","4.22M","1.20%"
"12/10/2023","34.040","33.590","34.500","32.360","11.12M","1.52%"
"12/03/2023","33.530","33.960","34.340","33.040","3.96M","-0.92%"
"11/26/2023","33.840","31.100","34.250","30.910","12.12M","9.06%"
"11/19/2023","31.030","30.630","31.490","30.160","4.45M","1.27%"
"11/12/2023","30.640","30.070","30.860","29.620","5.00M","2.13%"
"11/05/2023","30.000","29.690","30.360","29.410","8.17M","1.90%"
"10/29/2023","29.440","28.620","29.740","27.720","11.02M","2.87%"
"10/22/2023","28.620","29.690","30.010","28.550","5.20M","-3.41%"
"10/15/2023","29.630","32.560","33.050","28.140","12.95M","-9.03%"
"10/08/2023","32.570","33.200","34.010","32.260","5.99M","-2.05%"
"10/01/2023","33.250","32.880","34.190","32.500","7.16M","1.65%"
"09/24/2023","32.710","33.650","34.250","32.630","6.84M","-2.76%"
"09/17/2023","33.640","34.110","34.630","33.300","7.32M","-1.52%"
"09/10/2023","34.160","33.110","34.360","32.470","9.15M","3.48%"
"09/03/2023","33.010","34.440","35.200","32.750","5.91M","-3.79%"
"08/27/2023","34.310","34.320","35.340","33.940","8.51M","0.23%"
"08/20/2023","34.230","34.670","34.670","33.840","11.51M","-1.33%"
"08/13/2023","34.690","35.520","35.920","34.590","10.34M","-2.39%"
"08/06/2023","35.540","34.870","36.140","34.870","8.64M","1.92%"
"07/30/2023","34.870","35.480","35.650","33.680","8.48M","-1.39%"
"07/23/2023","35.360","34.820","35.690","34.370","5.41M","1.96%"
"07/16/2023","34.680","35.440","35.540","33.490","7.30M","-2.03%"
"07/09/2023","35.400","34.740","35.900","34.350","6.52M","1.96%"
"07/02/2023","34.720","35.610","36.130","34.090","4.92M","-2.25%"
"06/25/2023","35.520","35.870","36.160","35.190","5.28M","-0.59%"
"06/18/2023","35.730","36.920","37.000","35.300","5.85M","-3.14%"
"06/11/2023","36.890","37.510","37.570","36.750","9.68M","-1.65%"
"06/04/2023","37.510","37.860","38.130","36.690","7.33M","-0.69%"
"05/28/2023","37.770","36.980","37.930","35.760","5.65M","2.36%"
"05/21/2023","36.900","37.400","37.540","35.730","5.06M","-1.34%"
"05/14/2023","37.400","38.260","38.310","37.180","4.04M","-1.86%"
"05/07/2023","38.110","40.830","41.190","38.000","3.41M","-6.36%"
"04/30/2023","40.700","39.990","40.800","39.400","3.62M","2.39%"
"04/23/2023","39.750","39.520","39.970","38.300","3.31M","1.09%"
"04/16/2023","39.320","38.480","39.590","38.400","3.88M","2.10%"
"04/09/2023","38.510","37.700","39.360","37.470","4.61M","1.66%"
"04/02/2023","37.880","38.890","38.890","37.740","1.81M","-1.89%"
"03/26/2023","38.610","38.440","39.120","37.840","4.06M","1.18%"
"03/19/2023","38.160","38.760","39.160","37.740","5.45M","-1.06%"
"03/12/2023","38.570","35.620","39.200","35.430","12.69M","7.65%"
"03/05/2023","35.830","36.290","36.890","35.310","5.76M","-0.56%"
"02/26/2023","36.030","36.150","36.980","35.420","5.33M","0.11%"
"02/19/2023","35.990","39.210","39.210","35.870","8.10M","-7.69%"
"02/12/2023","38.990","39.640","39.880","38.250","12.59M","-1.14%"
"02/05/2023","39.440","41.000","41.500","39.190","6.23M","-3.80%"
"01/29/2023","41.000","40.390","41.110","40.010","10.42M","1.21%"
"01/22/2023","40.510","38.640","40.680","38.530","11.21M","5.00%"
"01/15/2023","38.580","39.000","39.000","38.280","4.77M","-0.39%"
"01/08/2023","38.730","38.430","39.570","38.430","6.74M","1.18%"
"01/01/2023","38.280","37.720","38.960","37.390","2.39M","1.75%"
"12/25/2022","37.620","37.920","38.870","37.270","2.18M","-1.31%"
"12/18/2022","38.120","38.130","39.000","37.130","3.66M","1.25%"
"12/11/2022","37.650","39.610","39.620","37.320","5.02M","-4.13%"
"12/04/2022","39.270","38.070","40.040","37.500","6.99M","2.59%"
"11/27/2022","38.280","37.430","38.810","37.000","8.10M","1.78%"
"11/20/2022","37.610","37.870","38.150","36.700","2.54M","0.62%"
"11/13/2022","37.380","36.670","38.420","36.280","5.46M","2.10%"
"11/06/2022","36.610","35.710","37.350","34.850","5.55M","2.49%"
"10/30/2022","35.720","35.200","36.580","35.070","3.96M","1.85%"
"10/23/2022","35.070","36.070","36.690","34.980","5.36M","-1.85%"
"10/16/2022","35.730","34.650","35.980","33.950","10.36M","4.05%"
"10/09/2022","34.340","34.740","35.120","33.750","3.93M","-0.20%"
"10/02/2022","34.410","33.790","35.650","33.520","3.69M","2.14%"
"09/25/2022","33.690","34.180","34.710","33.030","5.31M","-1.09%"
"09/18/2022","34.060","34.930","36.000","33.880","5.63M","-1.56%"
"09/11/2022","34.600","36.960","37.330","34.390","5.10M","-5.05%"
"09/04/2022","36.440","36.440","36.990","34.650","3.38M","0.14%"
"08/28/2022","36.390","38.320","38.320","35.270","4.01M","-4.34%"
"08/21/2022","38.040","38.310","38.750","36.950","10.69M","-0.39%"
"08/14/2022","38.190","38.150","39.010","37.370","3.56M","1.14%"
"08/07/2022","37.760","36.410","37.990","36.410","3.66M","4.71%"
"07/31/2022","36.060","38.260","39.000","35.390","5.39M","-4.96%"
"07/24/2022","37.940","35.400","38.480","34.900","4.41M","7.45%"
"07/17/2022","35.310","34.750","36.690","34.750","2.98M","1.90%"
"07/10/2022","34.650","35.450","35.960","33.580","2.00M","-2.26%"
"07/03/2022","35.450","34.850","35.790","34.540","2.84M","1.49%"
"06/26/2022","34.930","36.890","37.000","34.720","4.07M","-4.38%"
"06/19/2022","36.530","36.730","37.480","35.210","5.84M","0.11%"
"06/12/2022","36.490","37.100","37.100","34.550","10.28M","-1.41%"
"06/05/2022","37.010","37.060","38.540","36.380","4.59M","-0.19%"
"05/29/2022","37.080","38.200","39.600","35.720","11.27M","-2.70%"
"05/22/2022","38.110","39.700","39.700","37.060","3.25M","-3.05%"
"05/15/2022","39.310","37.160","39.800","36.280","3.94M","5.84%"
"05/08/2022","37.140","38.500","39.750","35.390","4.59M","-2.57%"
"05/01/2022","38.120","40.260","41.490","37.320","3.22M","-5.71%"
"04/24/2022","40.430","40.440","41.300","38.400","5.03M","0.67%"
"04/17/2022","40.160","40.030","41.770","39.630","3.38M","0.32%"
"04/10/2022","40.030","42.820","42.910","39.440","4.72M","-6.14%"
"04/03/2022","42.650","42.090","42.980","40.800","4.62M","1.52%"
"03/27/2022","42.010","39.780","42.500","39.310","8.57M","5.10%"
"03/20/2022","39.970","37.520","40.400","37.400","5.60M","7.62%"
"03/13/2022","37.140","39.650","39.650","36.900","11.00M","-5.76%"
"03/06/2022","39.410","39.390","40.050","37.510","8.28M","-1.30%"
"02/27/2022","39.930","39.160","40.150","38.850","3.24M","0.50%"
"02/20/2022","39.730","39.250","40.070","38.690","6.76M","0.58%"
"02/13/2022","39.500","37.450","39.640","36.380","4.52M","5.33%"
"02/06/2022","37.500","37.400","38.960","37.060","3.10M","0.08%"
"01/30/2022","37.470","34.940","38.160","34.740","11.85M","8.04%"
"01/23/2022","34.680","35.250","35.610","33.860","14.34M","-2.23%"
"01/16/2022","35.470","37.370","37.480","35.430","8.09M","-4.50%"
"01/09/2022","37.140","37.340","38.450","37.000","3.46M","-0.83%"
"01/02/2022","37.450","39.220","39.750","37.200","5.79M","-3.78%"
"12/26/2021","38.920","39.360","39.800","38.150","1.28M","-1.87%"
"12/19/2021","39.660","39.000","39.800","37.260","3.29M","-0.48%"
"12/12/2021","39.850","37.690","40.000","36.810","9.01M","5.70%"
"12/05/2021","37.700","36.180","38.200","36.180","3.36M","3.86%"
"11/28/2021","36.300","34.000","37.290","34.000","25.15M","7.14%"
"11/21/2021","33.880","35.140","36.000","33.310","8.43M","-3.45%"
"11/14/2021","35.090","37.660","38.400","34.700","7.70M","-6.82%"
"11/07/2021","37.660","38.800","39.100","36.770","3.54M","-2.76%"
"10/31/2021","38.730","39.750","39.980","38.000","2.35M","-1.80%"
"10/24/2021","39.440","41.280","41.800","39.150","4.80M","-3.50%"
"10/17/2021","40.870","40.290","42.260","39.100","8.43M","1.77%"
"10/10/2021","40.160","39.150","40.300","39.000","2.74M","2.84%"
"10/03/2021","39.050","39.290","40.250","38.150","2.20M","-0.36%"
"09/26/2021","39.190","39.450","40.390","38.850","4.23M","-0.84%"
"09/19/2021","39.520","40.920","41.690","39.410","5.19M","-3.84%"
"09/12/2021","41.100","41.690","42.740","40.630","9.95M","-1.08%"
"09/05/2021","41.550","41.650","42.700","41.050","3.82M","-0.38%"
"08/29/2021","41.710","40.510","42.000","40.250","3.74M","2.73%"
"08/22/2021","40.600","40.640","42.000","40.380","3.38M","0.15%"
"08/15/2021","40.540","40.500","41.380","40.010","3.17M","-0.66%"
"08/08/2021","40.810","40.660","41.690","40.290","5.65M","1.42%"
"08/01/2021","40.240","40.720","40.990","39.540","8.90M","-0.96%"
"07/25/2021","40.630","41.100","41.580","40.140","9.26M","-1.29%"
"07/18/2021","41.160","42.420","42.900","40.720","5.93M","-3.20%"
"07/11/2021","42.520","42.310","43.380","41.800","5.55M","0.71%"
"07/04/2021","42.220","42.670","43.200","41.410","3.95M","-1.12%"
"06/27/2021","42.700","43.900","44.290","42.300","3.20M","-2.56%"
"06/20/2021","43.820","43.590","44.500","43.150","7.71M","0.30%"
"06/13/2021","43.690","43.840","44.700","43.420","6.34M","-0.48%"
"06/06/2021","43.900","43.430","44.950","43.250","3.52M","0.90%"
"05/30/2021","43.510","44.700","44.750","43.050","4.26M","-2.49%"
"05/23/2021","44.620","45.070","45.300","43.990","9.88M","-0.87%"
"05/16/2021","45.010","45.970","45.970","44.400","3.98M","1.06%"
"05/09/2021","44.540","45.400","46.600","43.920","3.19M","-1.94%"
"05/02/2021","45.420","45.160","45.990","44.720","4.01M","1.07%"
"04/25/2021","44.940","44.880","45.900","44.010","7.81M","0.88%"
"04/18/2021","44.550","44.820","46.000","44.050","6.69M","-0.82%"
"04/11/2021","44.920","43.950","45.990","43.230","5.53M","1.79%"
"04/04/2021","44.130","41.600","44.360","41.340","18.20M","6.98%"
"03/28/2021","41.250","42.000","42.380","40.890","7.99M","-1.41%"
"03/21/2021","41.840","42.800","43.840","40.780","12.99M","-1.06%"
"03/14/2021","42.290","42.430","44.390","41.830","7.55M","-0.28%"
"03/07/2021","42.410","42.440","43.150","41.500","5.73M","-0.31%"
"02/28/2021","42.540","42.900","44.500","41.900","6.97M","-0.72%"
"02/21/2021","42.850","45.220","45.220","41.450","10.26M","-5.03%"
"02/14/2021","45.120","46.470","47.500","45.030","3.74M","-2.97%"
"02/07/2021","46.500","47.010","47.840","45.320","4.94M","-1.06%"
"01/31/2021","47.000","45.800","47.980","45.800","5.17M","2.17%"
"01/24/2021","46.000","47.050","47.110","44.440","5.43M","-0.95%"
"01/17/2021","46.440","47.120","47.950","46.290","4.01M","-1.23%"
"01/10/2021","47.020","49.700","49.770","46.570","12.58M","-5.58%"
"01/03/2021","49.800","46.700","50.350","46.700","3.99M","5.60%"
"12/27/2020","47.160","47.290","49.250","47.000","1.08M","0.04%"
"12/20/2020","47.140","47.150","47.650","45.110","1.44M","-0.57%"
"12/13/2020","47.410","47.650","48.140","46.200","10.69M","-0.11%"
"12/06/2020","47.460","45.150","47.610","45.050","11.92M","5.12%"
"11/29/2020","45.150","46.190","46.800","44.710","5.91M","-2.46%"
"11/22/2020","46.290","46.600","47.500","46.060","6.39M","-0.34%"
"11/15/2020","46.450","46.230","46.940","45.380","5.20M","1.46%"
"11/08/2020","45.780","49.000","49.490","44.980","5.49M","-6.03%"
"11/01/2020","48.720","43.020","49.700","42.610","4.25M","12.99%"
"10/25/2020","43.120","45.330","45.480","42.490","3.85M","-4.98%"
"10/18/2020","45.380","46.300","46.900","45.290","5.84M","-1.56%"
"10/11/2020","46.100","49.550","50.180","45.500","4.36M","-6.74%"
"10/04/2020","49.430","50.130","51.800","47.750","2.90M","-0.82%"
"09/27/2020","49.840","47.130","52.170","47.130","11.75M","5.97%"
"09/20/2020","47.030","47.850","48.980","45.000","3.13M","-1.51%"
"09/13/2020","47.750","46.500","48.400","46.500","4.53M","2.91%"
"09/06/2020","46.400","45.460","49.000","45.100","6.65M","2.27%"
"08/30/2020","45.370","46.470","47.590","45.000","4.92M","-2.37%"
"08/23/2020","46.470","47.100","47.100","45.250","4.09M","-0.81%"
"08/16/2020","46.850","47.060","47.480","44.790","4.72M","-0.57%"
"08/09/2020","47.120","50.680","51.040","46.710","5.40M","-6.90%"
"08/02/2020","50.610","45.610","52.130","45.420","5.87M","12.67%"
"07/26/2020","44.920","45.490","46.450","43.720","6.09M","-0.62%"
"07/19/2020","45.200","42.520","46.870","42.500","5.51M","6.30%"
"07/12/2020","42.520","42.610","44.450","42.270","4.13M","0.31%"
"07/05/2020","42.390","44.510","45.150","42.110","9.30M","-4.55%"
"06/28/2020","44.410","42.910","44.970","42.130","6.74M","3.42%"
"06/21/2020","42.940","42.250","44.980","42.250","2.86M","0.51%"
"06/14/2020","42.720","42.750","45.150","42.030","5.27M","-1.27%"
"06/07/2020","43.270","43.670","45.850","41.820","4.21M","-0.64%"
"05/31/2020","43.550","42.660","45.820","42.500","8.06M","2.49%"
"05/24/2020","42.490","42.600","45.440","41.090","6.25M","0.69%"
"05/17/2020","42.200","40.500","42.730","40.130","3.09M","5.13%"
"05/10/2020","40.140","43.780","44.000","39.580","6.16M","-8.46%"
"05/03/2020","43.850","43.500","46.430","41.900","6.21M","0.16%"
"04/26/2020","43.780","42.210","46.570","42.040","4.67M","4.24%"
"04/19/2020","42.000","38.190","43.110","37.500","8.67M","9.69%"
"04/12/2020","38.290","37.750","39.000","36.020","5.45M","1.38%"
"04/05/2020","37.770","34.500","39.900","34.500","1.70M","12.41%"
"03/29/2020","33.600","37.080","38.000","32.720","3.86M","-7.44%"
"03/22/2020","36.300","34.000","39.610","28.270","7.82M","6.05%"
"03/15/2020","34.230","38.500","43.270","31.020","6.34M","-12.99%"
"03/08/2020","39.340","39.400","42.500","35.410","7.10M","-4.86%"
"03/01/2020","41.350","41.770","44.660","40.520","6.85M","-0.55%"
"02/23/2020","41.580","45.270","46.900","40.650","9.53M","-9.15%"
"02/16/2020","45.770","43.900","46.100","43.660","5.44M","4.38%"
