"Date","Price","Open","High","Low","Vol.","Change %"
"08/27/2023","29.000","29.000","29.000","29.000","62.43K","0.00%"
"05/14/2023","29.000","28.450","29.000","28.450","252.40K","1.93%"
"05/07/2023","28.450","28.500","28.500","28.400","684.90K","1.61%"
"04/30/2023","28.000","28.500","28.500","28.000","19.02K","-6.67%"
"12/11/2022","30.000","30.000","30.000","30.000","0.36K","0.00%"
"10/02/2022","30.000","30.000","30.000","30.000","28.02K","-3.23%"
"09/11/2022","31.000","31.000","31.000","31.000","0.47K","-0.13%"
"06/05/2022","31.040","32.000","32.000","31.040","142.23K","-11.31%"
"01/30/2022","35.000","35.000","35.000","35.000","0.01K","0.00%"
"12/26/2021","35.000","35.000","35.000","35.000","0.15K","-2.23%"
"12/05/2021","35.800","35.800","35.800","35.800","1.12K","0.00%"
"06/06/2021","35.800","36.000","36.000","36.000","0.02K","0.00%"
"02/28/2021","35.800","35.000","35.800","35.000","2.62K","0.00%"
"11/29/2020","35.800","35.800","35.800","35.800","56.57K","-0.56%"
"10/11/2020","36.000","36.000","36.000","34.200","5.07K","0.00%"
"10/04/2020","36.000","36.000","36.000","36.000","0.02K","0.00%"
"09/06/2020","36.000","36.000","36.000","36.000","0.21K","0.00%"
"08/02/2020","36.000","36.000","36.000","36.000","1.37K","0.00%"
"06/28/2020","36.000","35.000","36.000","35.000","0.40K","0.00%"
"06/14/2020","36.000","36.000","36.000","36.000","0.25K","0.00%"
"05/31/2020","36.000","36.000","36.000","36.000","0.20K","2.86%"
"03/22/2020","35.000","35.000","35.000","35.000","0.20K","0.00%"
"02/09/2020","35.000","35.000","35.000","35.000","0.30K","0.00%"
"02/02/2020","35.000","35.000","35.000","35.000","0.40K","0.00%"
"01/26/2020","35.000","35.000","35.000","35.000","1.05K","0.00%"
"01/19/2020","35.000","35.000","35.000","35.000","1.80K","0.00%"
"11/24/2019","35.000","35.000","35.000","35.000","0.60K","0.00%"
"10/06/2019","35.000","35.000","35.000","35.000","0.15K","0.00%"
"09/29/2019","35.000","35.000","35.000","35.000","0.28K","0.00%"
"09/15/2019","35.000","34.000","35.000","34.000","3.44K","0.00%"
"09/08/2019","35.000","35.000","35.000","35.000","1.02K","0.00%"
"09/01/2019","35.000","35.000","35.000","35.000","4.00K","0.00%"
"08/25/2019","35.000","34.850","35.000","34.850","1.02K","0.00%"
"08/18/2019","35.000","35.000","35.000","35.000","2.51K","0.00%"
"08/11/2019","35.000","35.000","35.000","35.000","0.40K","0.00%"
"08/04/2019","35.000","35.000","35.000","35.000","0.40K","0.00%"
"07/28/2019","35.000","35.000","35.000","35.000","0.62K","0.00%"
"07/21/2019","35.000","35.000","35.000","35.000","0.55K","0.00%"
"07/14/2019","35.000","35.000","35.000","35.000","0.10K","-2.78%"
"07/07/2019","36.000","36.000","36.000","36.000","0.14K","-3.36%"
"06/30/2019","37.250","37.250","37.250","37.250","0.20K","-3.25%"
"04/14/2019","38.500","38.500","38.500","38.500","0.10K","-2.53%"
"04/07/2019","39.500","39.500","39.500","39.500","0.20K","-1.50%"
"02/24/2019","40.100","40.100","40.100","40.100","0.68K","0.00%"
"02/10/2019","40.100","40.100","40.100","40.100","0.13K","0.00%"
"01/27/2019","40.100","40.700","40.700","40.100","2.20K","-1.47%"
"01/20/2019","40.700","40.700","40.700","40.700","2.03K","0.00%"
"12/30/2018","40.700","40.700","40.700","40.700","0.11K","0.00%"
"12/23/2018","40.700","40.700","40.700","40.700","2.59K","-7.50%"
"02/11/2018","44.000","43.900","44.000","43.900","173.00K","0.00%"
"01/21/2018","44.000","44.000","44.000","44.000","153.25K","0.00%"
"12/17/2017","44.000","44.000","44.000","44.000","","0.00%"
"11/26/2017","44.000","41.000","44.000","41.000","1.82K","0.00%"
"11/19/2017","44.000","44.000","44.000","44.000","","0.00%"
"11/12/2017","44.000","44.000","44.000","44.000","","0.00%"
"11/05/2017","44.000","44.000","44.000","44.000","","0.00%"
"10/29/2017","44.000","44.000","44.000","44.000","","0.00%"
"10/22/2017","44.000","44.000","44.000","44.000","","0.00%"
"10/15/2017","44.000","44.000","44.000","44.000","","0.00%"
"10/08/2017","44.000","44.000","44.000","44.000","","0.00%"
"10/01/2017","44.000","44.000","44.000","44.000","","0.00%"
"09/24/2017","44.000","44.000","44.000","44.000","","0.00%"
"09/17/2017","44.000","44.000","44.000","44.000","","0.00%"
"09/10/2017","44.000","43.850","44.000","43.850","34.96K","0.34%"
"09/03/2017","43.850","43.850","43.850","43.850","","0.00%"
"08/27/2017","43.850","43.850","43.850","43.850","","0.00%"
"08/20/2017","43.850","43.850","43.850","43.850","23.69K","0.00%"
"08/13/2017","43.850","43.850","43.850","43.850","","0.00%"
"08/06/2017","43.850","43.850","43.850","43.850","","0.00%"
"07/30/2017","43.850","43.850","43.850","43.850","","0.00%"
"07/23/2017","43.850","43.850","43.850","43.850","","0.00%"
"07/16/2017","43.850","43.850","43.850","43.850","","0.00%"
"07/09/2017","43.850","43.850","43.850","43.850","","0.00%"
"07/02/2017","43.850","43.850","43.850","43.850","","0.00%"
"06/25/2017","43.850","43.850","43.850","43.850","","0.00%"
"06/18/2017","43.850","43.850","43.850","43.850","1.14K","0.00%"
"06/11/2017","43.850","43.850","43.850","43.850","11.80K","-0.11%"
"06/04/2017","43.900","43.900","43.900","43.900","0.10K","-0.23%"
"05/28/2017","44.000","44.000","44.000","44.000","","0.00%"
"05/21/2017","44.000","44.000","44.000","44.000","","0.00%"
"05/14/2017","44.000","44.000","44.000","44.000","","0.00%"
"05/07/2017","44.000","44.000","44.000","44.000","","0.00%"
"04/30/2017","44.000","44.000","44.000","44.000","","0.00%"
"04/23/2017","44.000","44.000","44.000","44.000","","0.00%"
"04/16/2017","44.000","44.000","44.000","44.000","","0.00%"
"04/09/2017","44.000","44.000","44.000","44.000","","0.00%"
"04/02/2017","44.000","44.000","44.000","44.000","","0.00%"
"03/26/2017","44.000","44.000","44.000","44.000","0.10K","0.00%"
"03/19/2017","44.000","44.000","44.000","44.000","","0.00%"
"03/12/2017","44.000","44.000","44.000","44.000","","0.00%"
"03/05/2017","44.000","44.000","44.000","44.000","","0.00%"
"02/26/2017","44.000","44.000","44.000","44.000","","0.00%"
"02/19/2017","44.000","44.000","44.000","44.000","","0.00%"
"02/12/2017","44.000","44.000","44.000","44.000","","0.00%"
"02/05/2017","44.000","44.000","44.000","44.000","","0.00%"
"01/29/2017","44.000","44.000","44.000","44.000","","0.00%"
"01/22/2017","44.000","44.000","44.000","44.000","","0.00%"
"01/15/2017","44.000","44.000","44.000","44.000","","0.00%"
"01/08/2017","44.000","44.000","44.000","44.000","","0.00%"
"01/01/2017","44.000","44.000","44.000","44.000","","0.00%"
"12/25/2016","44.000","44.000","44.000","44.000","","0.00%"
"12/18/2016","44.000","44.000","44.000","44.000","","0.00%"
"12/11/2016","44.000","44.000","44.000","44.000","","0.00%"
"12/04/2016","44.000","44.000","44.000","44.000","25.50K","0.00%"
"11/27/2016","44.000","44.000","44.000","44.000","","0.00%"
"11/20/2016","44.000","44.000","44.000","44.000","","0.00%"
"11/13/2016","44.000","44.000","44.000","44.000","","0.00%"
"11/06/2016","44.000","44.000","44.000","44.000","","0.00%"
"10/30/2016","44.000","44.000","44.000","44.000","","0.00%"
"10/23/2016","44.000","42.000","44.000","42.000","25.50K","0.00%"
"10/16/2016","44.000","44.000","44.000","44.000","","0.00%"
"10/09/2016","44.000","44.000","44.000","44.000","","0.00%"
"10/02/2016","44.000","44.000","44.000","44.000","","0.00%"
"09/25/2016","44.000","44.000","44.000","44.000","","0.00%"
"09/18/2016","44.000","44.000","44.000","44.000","","0.00%"
"09/11/2016","44.000","44.000","44.000","44.000","","0.00%"
"09/04/2016","44.000","44.000","44.000","44.000","","0.00%"
"08/28/2016","44.000","42.000","44.000","42.000","5.53K","0.00%"
"08/21/2016","44.000","44.000","44.000","44.000","","0.00%"
"08/14/2016","44.000","44.000","44.000","44.000","","0.00%"
"08/07/2016","44.000","44.000","44.000","44.000","","0.00%"
"07/31/2016","44.000","44.000","44.000","44.000","","0.00%"
"07/24/2016","44.000","44.000","44.000","44.000","","0.00%"
"07/17/2016","44.000","44.000","44.000","44.000","","0.00%"
"07/10/2016","44.000","44.000","44.000","44.000","","0.00%"
"07/03/2016","44.000","44.000","44.000","44.000","","0.00%"
"06/26/2016","44.000","44.000","44.000","44.000","","0.00%"
"06/19/2016","44.000","44.000","44.000","44.000","","0.00%"
"06/12/2016","44.000","44.000","44.000","44.000","","0.00%"
"06/05/2016","44.000","44.000","44.000","44.000","","0.00%"
"05/29/2016","44.000","44.000","44.000","44.000","","0.00%"
"05/22/2016","44.000","44.000","44.000","44.000","","0.00%"
"05/15/2016","44.000","44.000","44.000","44.000","","0.00%"
"05/08/2016","44.000","44.000","44.000","44.000","","0.00%"
"04/24/2016","44.000","43.000","44.000","43.000","105.87K","4.76%"
"04/17/2016","42.000","42.000","42.000","42.000","0.17K","0.00%"
"04/10/2016","42.000","43.000","43.000","42.000","0.50K","-4.33%"
"03/13/2016","43.900","43.990","43.990","43.900","101.05K","-0.23%"
