"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2023","23.900","23.000","24.300","22.200","8.77M","1.36%"
"12/24/2023","23.580","23.120","24.230","23.110","6.42M","1.77%"
"12/17/2023","23.170","22.270","23.600","22.100","17.31M","1.71%"
"12/10/2023","22.780","20.180","23.270","19.820","28.39M","12.88%"
"12/03/2023","20.180","20.500","20.560","19.640","12.89M","-2.28%"
"11/26/2023","20.650","18.840","20.890","18.790","15.17M","9.43%"
"11/19/2023","18.870","19.130","19.230","18.530","5.51M","-1.41%"
"11/12/2023","19.140","19.120","19.350","17.910","22.65M","0.31%"
"11/05/2023","19.080","20.080","21.050","18.980","9.54M","-6.70%"
"10/29/2023","20.450","19.330","21.470","18.870","12.01M","5.90%"
"10/22/2023","19.310","18.760","19.890","18.090","21.57M","2.99%"
"10/15/2023","18.750","21.230","21.620","18.670","18.19M","-11.68%"
"10/08/2023","21.230","20.160","22.370","20.160","13.08M","2.61%"
"10/01/2023","20.690","20.460","21.540","19.640","11.61M","1.12%"
"09/24/2023","20.460","20.670","21.440","20.120","8.15M","-0.63%"
"09/17/2023","20.590","20.450","21.990","19.890","8.20M","0.73%"
"09/10/2023","20.440","20.830","21.030","20.220","8.34M","-1.87%"
"09/03/2023","20.830","21.010","21.250","20.030","9.91M","-0.95%"
"08/27/2023","21.030","21.290","21.770","20.740","14.46M","-1.50%"
"08/20/2023","21.350","21.590","21.750","20.590","14.69M","-1.39%"
"08/13/2023","21.650","22.110","22.220","20.890","13.10M","-1.81%"
"08/06/2023","22.050","21.270","22.210","21.090","19.00M","3.52%"
"07/30/2023","21.300","20.420","21.880","20.150","39.67M","3.95%"
"07/23/2023","20.490","18.230","20.710","18.000","19.04M","11.66%"
"07/16/2023","18.350","18.880","19.090","17.930","5.43M","-2.50%"
"07/09/2023","18.820","18.910","19.240","18.500","9.00M","-0.69%"
"07/02/2023","18.950","18.640","19.180","17.850","10.14M","3.27%"
"06/25/2023","18.350","18.130","19.090","17.860","15.28M","1.21%"
"06/18/2023","18.130","18.230","18.410","17.460","6.75M","-0.38%"
"06/11/2023","18.200","20.120","20.210","17.890","19.95M","-10.03%"
"06/04/2023","20.230","18.830","20.350","18.770","8.27M","6.59%"
"05/28/2023","18.980","19.560","19.710","18.330","8.54M","-3.36%"
"05/21/2023","19.640","19.720","19.890","18.720","12.92M","-0.05%"
"05/14/2023","19.650","19.940","20.720","19.430","14.72M","-0.76%"
"05/07/2023","19.800","20.050","20.190","19.510","13.26M","-1.64%"
"04/30/2023","20.130","19.700","20.400","19.450","10.84M","1.77%"
"04/23/2023","19.780","20.400","21.130","19.040","35.77M","-2.56%"
"04/16/2023","20.300","19.600","21.430","19.590","34.04M","3.78%"
"04/09/2023","19.560","19.090","19.680","18.500","18.72M","2.46%"
"04/02/2023","19.090","19.720","19.820","18.910","10.67M","-3.39%"
"03/26/2023","19.760","17.660","19.900","17.490","23.73M","12.02%"
"03/19/2023","17.640","17.630","18.090","17.280","16.81M","0.06%"
"03/12/2023","17.630","18.670","18.670","16.960","28.73M","-5.57%"
"03/05/2023","18.670","19.620","19.980","18.350","10.71M","-4.06%"
"02/26/2023","19.460","19.880","20.170","19.040","14.92M","-2.65%"
"02/19/2023","19.990","20.850","20.910","18.780","28.35M","-4.31%"
"02/12/2023","20.890","19.340","21.240","19.340","19.85M","8.18%"
"02/05/2023","19.310","22.520","22.700","19.070","22.71M","-14.44%"
"01/29/2023","22.570","23.170","23.690","22.170","17.11M","-2.59%"
"01/22/2023","23.170","21.350","23.670","21.100","25.65M","8.83%"
"01/15/2023","21.290","22.950","22.950","21.120","13.77M","-6.95%"
"01/08/2023","22.880","22.790","24.000","22.620","19.08M","0.35%"
"01/01/2023","22.800","21.900","23.000","21.090","18.30M","3.92%"
"12/25/2022","21.940","22.290","23.000","21.320","5.44M","-1.30%"
"12/18/2022","22.230","21.570","23.010","21.090","12.81M","3.30%"
"12/11/2022","21.520","20.960","21.780","20.960","11.75M","2.67%"
"12/04/2022","20.960","20.760","21.780","20.000","23.49M","1.26%"
"11/27/2022","20.700","19.920","20.900","19.420","19.37M","4.49%"
"11/20/2022","19.810","20.350","20.350","19.440","9.72M","-1.15%"
"11/13/2022","20.040","20.350","21.300","19.260","19.27M","-1.52%"
"11/06/2022","20.350","20.400","20.920","20.090","17.82M","0.00%"
"10/30/2022","20.350","20.050","20.660","19.730","17.28M","0.94%"
"10/23/2022","20.160","19.090","20.460","18.840","24.31M","5.94%"
"10/16/2022","19.030","18.340","19.530","18.180","21.84M","4.10%"
"10/09/2022","18.280","17.470","18.680","16.870","21.19M","4.52%"
"10/02/2022","17.490","17.430","17.670","17.070","20.95M","0.69%"
"09/25/2022","17.370","16.350","17.690","15.450","27.97M","6.04%"
"09/18/2022","16.380","17.040","17.790","16.200","28.87M","-5.04%"
"09/11/2022","17.250","16.130","17.570","16.130","53.83M","7.01%"
"09/04/2022","16.120","16.020","16.900","15.920","12.26M","0.44%"
"08/28/2022","16.050","15.810","16.340","15.100","10.48M","1.13%"
"08/21/2022","15.870","16.790","17.020","15.550","8.29M","-5.65%"
"08/14/2022","16.820","16.370","16.850","16.010","7.57M","2.00%"
"08/07/2022","16.490","16.730","17.120","16.040","13.23M","-0.72%"
