"Date","Price","Open","High","Low","Vol.","Change %"
"08/13/2023","8.000","8.000","8.000","8.000","2.13M","0.00%"
"06/04/2023","8.000","8.210","8.210","8.000","2.75M","-4.65%"
"01/15/2023","8.390","8.390","8.390","8.390","2.78M","0.00%"
"01/08/2023","8.390","8.390","8.390","8.390","782.71K","0.00%"
"01/30/2022","8.390","8.390","8.390","8.390","357.64K","0.00%"
"01/23/2022","8.390","8.390","8.390","8.390","266.28K","0.00%"
"01/16/2022","8.390","8.390","8.390","8.390","596.01K","0.00%"
"12/12/2021","8.390","8.390","8.390","8.390","2.48M","0.00%"
"02/28/2021","8.390","8.390","8.390","8.390","0.21K","0.00%"
"02/07/2021","8.390","8.400","8.400","8.390","0.65K","-3.01%"
"01/31/2021","8.650","8.650","8.650","8.650","0.10K","-0.57%"
"01/03/2021","8.700","8.700","8.700","8.700","0.54K","-1.69%"
"12/06/2020","8.850","9.120","9.120","8.850","1.55K","-5.85%"
"11/22/2020","9.400","9.930","9.930","9.400","5.01M","-5.34%"
"11/15/2020","9.930","10.450","10.450","9.930","17.03K","-4.98%"
"11/01/2020","10.450","10.450","10.450","10.450","5.00K","-2.06%"
"10/25/2020","10.670","10.940","10.940","10.670","13.02K","-4.48%"
"10/18/2020","11.170","12.060","12.060","11.170","35.01K","-9.26%"
"10/11/2020","12.310","12.630","12.630","12.310","20.00K","-4.57%"
"03/29/2020","12.900","12.900","12.900","12.900","100.00K","0.00%"
"03/22/2020","12.900","12.900","12.900","12.900","12.19K","0.00%"
"03/08/2020","12.900","12.900","12.900","12.900","55.66K","-0.77%"
"04/21/2019","13.000","13.000","13.000","13.000","64.49K","0.00%"
"04/07/2019","13.000","13.000","13.000","13.000","437.96K","0.00%"
"03/31/2019","13.000","13.000","13.000","13.000","384.00K","0.00%"
"03/24/2019","13.000","13.000","13.000","13.000","124.06K","0.00%"
"03/17/2019","13.000","13.000","13.000","13.000","215.00K","0.00%"
"03/10/2019","13.000","13.000","13.000","13.000","130.00K","0.00%"
"03/03/2019","13.000","13.000","13.000","13.000","300.00K","0.00%"
"02/17/2019","13.000","13.000","13.000","13.000","205.00K","0.00%"
"02/03/2019","13.000","13.000","13.000","13.000","706.56K","0.00%"
"01/27/2019","13.000","13.000","13.000","13.000","184.22K","0.00%"
"11/04/2018","13.000","13.000","13.000","13.000","100.00K","0.00%"
"10/21/2018","13.000","13.000","13.000","13.000","569.77K","0.00%"
"07/15/2018","13.000","13.000","13.000","13.000","72.35K","0.00%"
"06/17/2018","13.000","13.000","13.000","13.000","657.00K","0.00%"
"03/04/2018","13.000","12.250","13.000","12.250","14.50K","9.24%"
"02/25/2018","11.900","11.300","11.900","11.300","16.46K","5.31%"
"02/18/2018","11.300","10.250","11.300","10.250","27.55K","13.00%"
"01/21/2018","10.000","10.000","10.000","10.000","","0.00%"
"01/14/2018","10.000","10.000","10.000","10.000","0.16K","0.00%"
"01/07/2018","10.000","10.000","10.000","10.000","","0.00%"
"12/31/2017","10.000","10.000","10.000","10.000","","0.00%"
"11/26/2017","10.000","10.000","10.000","10.000","","0.00%"
"11/19/2017","10.000","10.000","10.000","10.000","","0.00%"
"11/12/2017","10.000","10.000","10.000","10.000","","0.00%"
"11/05/2017","10.000","10.000","10.000","10.000","","0.00%"
"10/29/2017","10.000","10.000","10.000","10.000","","0.00%"
"10/22/2017","10.000","10.000","10.000","10.000","","0.00%"
"10/15/2017","10.000","10.000","10.000","10.000","","0.00%"
"10/08/2017","10.000","10.000","10.000","10.000","","0.00%"
"10/01/2017","10.000","10.000","10.000","10.000","","0.00%"
"09/24/2017","10.000","10.000","10.000","10.000","","0.00%"
"09/17/2017","10.000","10.000","10.000","10.000","","0.00%"
"09/10/2017","10.000","10.000","10.000","10.000","","0.00%"
"09/03/2017","10.000","10.000","10.000","10.000","","0.00%"
"08/27/2017","10.000","10.000","10.000","10.000","0.14K","0.00%"
"08/20/2017","10.000","10.000","10.000","10.000","","0.00%"
"08/13/2017","10.000","10.000","10.000","10.000","134.94K","0.00%"
"08/06/2017","10.000","10.000","10.000","10.000","","0.00%"
"07/30/2017","10.000","10.000","10.000","10.000","","0.00%"
"07/23/2017","10.000","10.000","10.000","10.000","","0.00%"
"07/16/2017","10.000","10.000","10.000","10.000","150.00K","0.00%"
"07/09/2017","10.000","10.000","10.000","10.000","","0.00%"
"07/02/2017","10.000","10.000","10.000","10.000","","0.00%"
"06/25/2017","10.000","9.800","10.000","9.510","4.86K","2.56%"
"06/18/2017","9.750","9.180","9.750","9.180","10.50K","8.33%"
"06/11/2017","9.000","8.400","9.000","8.400","13.15K","7.14%"
"06/04/2017","8.400","8.400","8.400","8.400","","0.00%"
"05/28/2017","8.400","8.400","8.400","8.400","","0.00%"
"05/21/2017","8.400","8.400","8.400","8.400","","0.00%"
"05/14/2017","8.400","8.400","8.400","8.400","","0.00%"
"05/07/2017","8.400","8.400","8.400","8.400","","0.00%"
"04/30/2017","8.400","8.400","8.400","8.400","","0.00%"
"04/23/2017","8.400","8.400","8.400","8.400","","0.00%"
"04/16/2017","8.400","8.400","8.400","8.400","","0.00%"
"04/09/2017","8.400","8.400","8.400","8.400","","0.00%"
"04/02/2017","8.400","8.400","8.400","8.400","","0.00%"
"03/26/2017","8.400","8.400","8.400","8.400","","0.00%"
"03/19/2017","8.400","8.400","8.400","8.400","","0.00%"
"03/12/2017","8.400","8.400","8.400","8.400","","0.00%"
"03/05/2017","8.400","8.400","8.400","8.400","0.67K","0.00%"
"02/26/2017","8.400","8.400","8.400","8.400","","0.00%"
"02/19/2017","8.400","8.400","8.400","8.400","","0.00%"
"02/12/2017","8.400","8.400","8.400","8.400","","0.00%"
"02/05/2017","8.400","8.400","8.400","8.400","","0.00%"
"01/29/2017","8.400","8.400","8.400","8.400","","0.00%"
"01/22/2017","8.400","8.400","8.400","8.400","","0.00%"
"01/15/2017","8.400","8.400","8.400","8.400","","0.00%"
"01/08/2017","8.400","8.400","8.400","8.400","0.25K","0.00%"
"01/01/2017","8.400","8.400","8.400","8.400","","0.00%"
"12/25/2016","8.400","8.400","8.400","8.400","","0.00%"
"12/18/2016","8.400","8.400","8.400","8.400","","0.00%"
"12/11/2016","8.400","8.400","8.400","8.400","","0.00%"
"12/04/2016","8.400","8.400","8.400","8.400","","0.00%"
