"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2023","170.600","171.190","171.190","162.310","12.42M","-0.09%"
"12/24/2023","170.760","167.500","174.570","166.760","6.93M","2.07%"
"12/17/2023","167.290","170.710","178.190","167.030","17.25M","-2.26%"
"12/10/2023","171.150","166.990","176.100","160.590","32.75M","3.07%"
"12/03/2023","166.060","160.090","167.000","156.810","31.39M","4.04%"
"11/26/2023","159.610","162.170","162.990","156.410","32.95M","-1.66%"
"11/19/2023","162.300","159.010","164.890","157.320","14.13M","0.81%"
"11/12/2023","161.000","157.470","163.010","154.710","22.41M","2.24%"
"11/05/2023","157.470","158.450","158.450","149.980","22.01M","-0.05%"
"10/29/2023","157.550","146.410","163.920","146.010","25.27M","7.40%"
"10/22/2023","146.690","143.000","148.990","141.630","20.86M","2.72%"
"10/15/2023","142.800","150.010","151.290","142.300","33.02M","-5.23%"
"10/08/2023","150.680","144.510","153.880","144.010","28.97M","4.27%"
"10/01/2023","144.510","146.630","150.320","137.750","31.79M","-1.10%"
"09/24/2023","146.110","146.990","150.090","143.200","22.87M","-0.34%"
"09/17/2023","146.610","145.910","154.150","144.340","23.00M","-0.54%"
"09/10/2023","147.400","143.990","147.800","142.260","34.34M","2.74%"
"09/03/2023","143.470","145.600","147.090","142.020","21.25M","-1.42%"
"08/27/2023","145.530","145.030","149.590","143.210","27.34M","0.35%"
"08/20/2023","145.020","144.900","148.140","142.820","19.21M","-0.10%"
"08/13/2023","145.170","148.440","151.450","144.120","24.29M","-2.20%"
"08/06/2023","148.440","152.620","153.420","145.000","20.82M","-2.74%"
"07/30/2023","152.620","156.800","159.020","147.300","30.99M","-2.38%"
"07/23/2023","156.340","146.310","156.890","145.310","32.60M","7.10%"
"07/16/2023","145.970","147.510","150.890","143.990","20.03M","-1.04%"
"07/09/2023","147.510","147.300","148.010","144.300","25.26M","0.02%"
"07/02/2023","147.480","141.200","149.230","140.110","18.57M","4.44%"
"06/25/2023","141.210","137.980","142.760","136.730","23.34M","2.35%"
"06/18/2023","137.970","143.510","144.270","136.510","18.74M","-4.15%"
"06/11/2023","143.940","140.020","145.590","140.020","47.39M","2.18%"
"06/04/2023","140.870","141.890","147.290","135.010","33.13M","-0.29%"
"05/28/2023","141.280","151.110","151.990","140.050","51.35M","-6.73%"
"05/21/2023","151.470","146.960","152.500","141.050","37.29M","4.22%"
"05/14/2023","145.330","149.300","154.690","144.210","35.40M","-2.66%"
"05/07/2023","149.300","153.290","158.390","148.510","21.82M","-2.36%"
"04/30/2023","152.910","155.300","158.440","152.220","17.34M","-1.65%"
"04/23/2023","155.480","152.090","159.380","150.600","25.59M","2.50%"
"04/16/2023","151.690","147.410","153.400","147.410","23.02M","2.61%"
"04/09/2023","147.830","149.450","150.880","144.610","20.03M","-1.19%"
"04/02/2023","149.610","151.320","153.500","148.270","8.73M","-1.51%"
"03/26/2023","151.900","149.100","152.700","141.580","43.79M","1.94%"
