"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2023","140.000","140.000","140.000","140.000","","0.00%"
"12/24/2023","140.000","140.000","140.000","140.000","0.78K","0.00%"
"12/10/2023","140.000","140.000","140.000","140.000","0.56K","1.82%"
"10/22/2023","137.500","137.500","137.500","137.500","7.42K","-0.36%"
"09/24/2023","138.000","138.000","138.000","138.000","0.20K","0.00%"
"09/17/2023","138.000","138.000","138.000","138.000","0.37K","-1.43%"
"09/10/2023","140.000","140.000","140.000","140.000","0.97K","0.00%"
"09/03/2023","140.000","140.000","140.000","140.000","10.58K","0.00%"
"06/04/2023","140.000","140.000","140.000","140.000","","0.00%"
"05/28/2023","140.000","139.000","140.000","139.000","0.79K","0.00%"
"05/07/2023","140.000","135.000","140.000","135.000","8.05K","4.48%"
"04/30/2023","134.000","123.500","134.000","123.500","7.74K","5.51%"
"04/23/2023","127.000","124.000","127.000","124.000","10.95K","0.00%"
"02/12/2023","127.000","125.000","129.000","125.000","14.82K","1.60%"
"02/05/2023","125.000","125.000","125.000","125.000","3.05K","-3.10%"
"01/15/2023","129.000","125.000","129.000","125.000","0.78K","7.05%"
"01/08/2023","120.500","120.500","120.500","120.500","0.36K","2.99%"
"01/01/2023","117.000","120.000","120.000","117.000","40.05K","0.00%"
"12/25/2022","117.000","115.000","117.000","115.000","11.44K","1.74%"
"12/11/2022","115.000","117.000","117.000","115.000","10.37K","-3.36%"
"11/20/2022","119.000","119.000","119.000","119.000","0.27K","-0.83%"
"11/13/2022","120.000","120.000","120.000","120.000","8.83K","-4.00%"
"10/30/2022","125.000","123.000","125.000","122.000","10.46K","0.00%"
"09/25/2022","125.000","125.000","125.000","125.000","0.63K","0.00%"
"09/11/2022","125.000","125.000","125.000","125.000","4.12K","0.00%"
"09/04/2022","125.000","125.000","125.000","125.000","0.26K","0.00%"
"07/03/2022","125.000","125.000","125.000","125.000","4.17K","0.81%"
"05/29/2022","124.000","124.000","124.000","124.000","1.34K","-2.36%"
"05/15/2022","127.000","127.000","127.000","127.000","","0.00%"
"05/08/2022","127.000","125.000","127.000","125.000","0.43K","3.09%"
"03/27/2022","123.190","123.190","123.190","123.190","0.41K","-3.00%"
"03/13/2022","127.000","127.000","127.000","127.000","2.38K","0.00%"
"03/06/2022","127.000","124.000","127.000","124.000","1.78K","0.79%"
"02/27/2022","126.000","126.000","126.000","126.000","1.38K","-1.18%"
"02/06/2022","127.500","122.000","127.500","122.000","1.25K","2.00%"
"01/30/2022","125.000","120.000","125.000","120.000","1.67K","1.47%"
"01/16/2022","123.190","123.000","123.490","123.000","3.01K","-0.24%"
"01/09/2022","123.490","123.490","123.490","123.490","0.53K","-0.40%"
"01/02/2022","123.980","123.980","123.980","123.980","0.51K","-0.81%"
"12/26/2021","124.990","124.990","124.990","124.990","0.55K","2.88%"
"12/19/2021","121.490","121.490","121.490","121.490","0.70K","-2.80%"
"12/05/2021","124.990","124.990","124.990","124.970","1.53K","0.31%"
"11/28/2021","124.600","124.980","124.980","124.600","2.13K","-1.10%"
"11/21/2021","125.990","116.000","126.000","116.000","6.58K","8.61%"
"11/07/2021","116.000","112.000","116.000","112.000","3.80K","8.26%"
"10/31/2021","107.150","105.000","107.150","105.000","101.13K","2.05%"
"10/24/2021","105.000","104.000","105.000","104.000","2.75K","0.00%"
"10/17/2021","105.000","105.000","105.000","105.000","0.58K","0.47%"
"10/03/2021","104.510","105.000","105.000","104.510","1.55K","-0.47%"
"09/26/2021","105.000","105.000","105.000","105.000","100.15K","0.00%"
"09/19/2021","105.000","104.990","105.000","104.990","107.67K","0.00%"
"09/12/2021","105.000","105.000","105.000","105.000","0.81K","0.96%"
"09/05/2021","104.000","104.000","104.000","104.000","0.41K","-0.95%"
"08/29/2021","105.000","105.000","105.000","105.000","30.14K","0.00%"
"08/22/2021","105.000","105.050","105.050","105.000","173.07K","-0.05%"
"08/15/2021","105.050","108.000","108.000","105.050","2.08K","-2.73%"
"08/08/2021","108.000","108.000","108.000","108.000","0.55K","-1.82%"
"07/25/2021","110.000","110.000","110.000","110.000","6.40K","0.00%"
"07/11/2021","110.000","110.000","110.000","110.000","0.76K","0.00%"
"07/04/2021","110.000","110.000","110.000","110.000","53.28K","0.92%"
"06/27/2021","109.000","110.000","112.000","108.750","57.97K","-2.68%"
"06/20/2021","112.000","112.000","112.000","112.000","0.79K","0.00%"
"06/13/2021","112.000","112.000","112.000","112.000","1.51K","0.90%"
"06/06/2021","111.000","111.000","111.000","111.000","10.16K","0.00%"
"05/30/2021","111.000","111.000","111.000","110.990","11.00K","-3.48%"
"05/23/2021","115.000","115.000","115.000","115.000","0.69K","0.00%"
"05/16/2021","115.000","110.000","115.000","110.000","4.23K","4.64%"
"05/09/2021","109.900","112.000","112.000","109.900","1.05K","-4.43%"
