"Date","Price","Open","High","Low","Vol.","Change %"
"12/24/2023","4.500","4.500","4.500","4.500","5.10K","11.94%"
"12/17/2023","4.020","3.400","4.020","3.400","7.06K","18.24%"
"12/10/2023","3.400","3.400","3.400","3.400","3.00K","0.00%"
"11/26/2023","3.400","3.400","3.400","3.400","10.00K","-15.00%"
"11/19/2023","4.000","4.000","4.000","4.000","10.10K","-20.00%"
"10/22/2023","5.000","5.000","5.000","5.000","5.00K","0.00%"
"10/15/2023","5.000","5.000","5.000","5.000","10.00K","0.00%"
"10/08/2023","5.000","5.000","5.000","5.000","10.00K","0.00%"
"10/01/2023","5.000","5.000","5.000","5.000","10.00K","0.00%"
"09/24/2023","5.000","5.000","5.000","5.000","6.00K","0.00%"
"08/27/2023","5.000","5.000","5.000","5.000","","0.00%"
"08/20/2023","5.000","4.900","5.000","4.900","545.00K","6.38%"
"08/13/2023","4.700","4.700","4.700","4.700","5.00K","4.44%"
"07/23/2023","4.500","4.500","4.500","4.500","7.00K","0.00%"
"06/25/2023","4.500","4.500","4.500","4.500","5.00K","0.00%"
"05/14/2023","4.500","4.500","4.500","4.500","58.92K","0.00%"
"04/16/2023","4.500","4.500","4.500","4.500","597.72K","0.00%"
"04/02/2023","4.500","4.500","4.500","4.500","","0.00%"
"03/26/2023","4.500","4.500","4.500","4.500","197.44K","9.76%"
"03/12/2023","4.100","4.100","4.100","4.100","1.06M","0.00%"
"03/05/2023","4.100","4.100","4.100","4.100","1.67M","-8.89%"
"02/26/2023","4.500","4.500","4.500","4.500","647.72K","-2.39%"
"02/19/2023","4.610","4.610","4.610","4.610","20.00K","-4.95%"
"02/12/2023","4.850","4.850","4.850","4.850","20.00K","-4.90%"
"01/29/2023","5.100","5.100","5.100","5.100","10.00K","-3.77%"
"01/15/2023","5.300","5.300","5.300","5.300","10.00K","-4.50%"
"12/11/2022","5.550","5.550","5.550","5.550","5.00K","-4.64%"
"11/27/2022","5.820","5.820","5.820","5.820","5.00K","-4.59%"
"11/20/2022","6.100","6.100","6.100","6.100","5.00K","-4.69%"
"10/30/2022","6.400","6.400","6.400","6.400","5.00K","-4.62%"
"09/25/2022","6.710","7.050","7.050","6.710","10.00K","-9.32%"
"08/28/2022","7.400","7.400","7.400","7.400","7.00K","0.00%"
"07/24/2022","7.400","7.400","7.400","7.400","10.00K","0.00%"
"06/26/2022","7.400","7.400","7.400","7.400","7.00K","0.00%"
"05/22/2022","7.400","7.400","7.400","7.400","10.00K","0.00%"
"04/24/2022","7.400","7.400","7.400","7.400","8.50K","0.00%"
"03/27/2022","7.400","7.400","7.400","7.400","10.00K","0.00%"
"02/20/2022","7.400","7.400","7.400","7.400","10.00K","0.00%"
"01/23/2022","7.400","7.400","7.400","7.400","13.50K","0.00%"
"12/19/2021","7.400","7.400","7.400","7.400","10.00K","0.00%"
"11/28/2021","7.400","7.400","7.400","7.400","20.00K","0.00%"
"10/24/2021","7.400","7.400","7.400","7.400","20.00K","0.00%"
"09/26/2021","7.400","7.400","7.400","7.400","10.00K","0.00%"
"08/22/2021","7.400","7.400","7.400","7.400","10.00K","0.00%"
"07/25/2021","7.400","7.400","7.400","7.400","8.50K","0.00%"
"06/20/2021","7.400","7.400","7.400","7.400","10.00K","0.00%"
"05/23/2021","7.400","7.400","7.400","7.400","10.00K","0.00%"
"04/18/2021","7.400","7.400","7.400","7.400","8.50K","0.00%"
"03/21/2021","7.400","7.400","7.400","7.400","10.00K","0.00%"
"02/21/2021","7.400","7.400","7.400","7.400","10.00K","-17.78%"
"05/17/2020","9.000","9.000","9.000","9.000","10.00K","0.00%"
"04/19/2020","9.000","9.000","9.000","9.000","10.00K","0.00%"
"03/22/2020","9.000","9.000","9.000","9.000","10.00K","0.00%"
"02/23/2020","9.000","9.000","9.000","9.000","164.39K","0.00%"
"02/16/2020","9.000","9.000","9.000","9.000","911.33K","0.00%"
"01/19/2020","9.000","9.000","9.000","9.000","744.45K","0.00%"
"01/12/2020","9.000","9.000","9.000","9.000","666.67K","0.00%"
"12/08/2019","9.000","9.000","9.000","9.000","1.37M","0.00%"
"11/17/2019","9.000","9.000","9.000","9.000","10.00K","0.00%"
"10/20/2019","9.000","9.000","9.000","9.000","10.00K","0.00%"
"09/08/2019","9.000","9.000","9.000","9.000","277.78K","0.00%"
