"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2023","160.50","172.43","172.43","159.08","4.51M","-6.46%"
"12/24/2023","171.58","170.93","171.96","166.40","3.85M","0.36%"
"12/17/2023","170.97","166.17","171.25","164.55","7.40M","1.33%"
"12/10/2023","168.72","170.00","172.24","168.20","6.67M","-0.43%"
"12/03/2023","169.45","164.10","169.65","161.54","5.14M","3.39%"
"11/26/2023","163.89","151.54","164.41","149.80","7.27M","7.60%"
"11/19/2023","152.32","145.60","153.12","141.55","4.08M","6.03%"
"11/12/2023","143.66","143.56","153.43","140.28","6.20M","-0.55%"
"11/05/2023","144.46","145.29","147.41","139.82","4.92M","0.90%"
"10/29/2023","143.17","147.64","150.61","142.05","5.94M","-3.02%"
"10/22/2023","147.63","132.52","149.35","130.76","8.41M","11.33%"
"10/15/2023","132.61","137.84","138.27","132.09","2.72M","-3.72%"
"10/08/2023","137.74","134.90","142.00","131.51","5.72M","2.37%"
"10/01/2023","134.55","129.99","137.00","129.91","6.50M","2.75%"
"09/24/2023","130.95","139.97","139.97","128.00","6.36M","-6.40%"
"09/17/2023","139.90","134.00","141.97","133.80","4.76M","4.30%"
"09/10/2023","134.13","131.34","136.10","131.34","7.75M","2.16%"
"09/03/2023","131.29","134.50","135.50","127.85","5.72M","-1.91%"
"08/27/2023","133.85","132.28","135.64","130.01","6.24M","0.92%"
"08/20/2023","132.63","126.37","134.14","125.16","6.02M","4.42%"
"08/13/2023","127.01","133.82","135.65","125.98","5.23M","-5.23%"
"08/06/2023","134.02","128.20","135.17","128.20","6.62M","5.06%"
"07/30/2023","127.57","122.10","128.96","121.65","9.32M","4.45%"
"07/23/2023","122.13","123.78","123.78","120.03","6.37M","-1.33%"
"07/16/2023","123.77","134.61","135.35","122.91","2.27M","-7.79%"
"07/09/2023","134.22","135.50","138.40","130.42","5.98M","-0.94%"
"07/02/2023","135.50","127.65","137.01","126.97","6.46M","6.68%"
"06/25/2023","127.02","120.09","127.50","118.92","7.30M","6.31%"
"06/18/2023","119.48","119.01","120.80","117.95","4.73M","0.45%"
"06/11/2023","118.95","118.96","120.57","117.30","5.49M","0.41%"
"06/04/2023","118.47","118.19","119.27","116.68","4.57M","0.36%"
"05/28/2023","118.05","119.02","120.99","113.71","5.76M","-0.81%"
"05/21/2023","119.01","119.00","119.26","114.66","3.98M","-0.31%"
"05/14/2023","119.38","118.00","121.50","116.67","5.74M","1.62%"
"05/07/2023","117.48","112.33","122.48","112.20","6.90M","4.58%"
"04/30/2023","112.34","118.85","118.85","111.01","3.57M","-5.48%"
"04/23/2023","118.85","117.50","120.41","116.54","6.25M","1.17%"
"04/16/2023","117.47","110.00","117.80","109.34","5.96M","6.77%"
"04/09/2023","110.02","112.12","112.12","106.60","6.49M","-1.87%"
"04/02/2023","112.12","114.84","114.84","111.43","3.16M","-2.75%"
"03/26/2023","115.29","113.40","117.87","111.21","5.71M","1.43%"
"03/19/2023","113.66","112.00","115.63","111.50","4.99M","1.62%"
"03/12/2023","111.85","113.87","116.66","111.12","7.54M","-1.80%"
"03/05/2023","113.90","117.23","119.11","113.08","7.96M","-2.77%"
"02/26/2023","117.14","109.94","117.49","109.94","6.01M","6.20%"
"02/19/2023","110.30","114.99","114.99","109.97","7.05M","-3.97%"
"02/12/2023","114.86","106.95","115.18","106.95","6.79M","7.35%"
"02/05/2023","107.00","107.85","108.77","103.76","5.99M","-0.26%"
"01/29/2023","107.28","99.63","109.01","98.64","7.88M","8.42%"
"01/22/2023","98.95","92.86","99.78","92.70","3.43M","6.32%"
"01/15/2023","93.07","92.00","94.16","90.44","3.98M","2.71%"
"01/08/2023","90.61","88.51","91.78","87.50","5.11M","2.41%"
"01/01/2023","88.48","85.78","89.31","84.14","3.92M","2.98%"
"12/25/2022","85.92","87.88","88.24","85.63","8.43M","-1.20%"
"12/18/2022","86.96","85.11","87.70","83.65","6.32M","3.65%"
"12/11/2022","83.90","87.51","87.73","82.15","5.59M","-3.22%"
"12/04/2022","86.69","87.09","88.00","83.81","6.96M","-0.09%"
"11/27/2022","86.77","83.50","87.46","79.36","8.34M","4.47%"
"11/20/2022","83.06","83.49","84.61","81.98","4.64M","-0.35%"
"11/13/2022","83.35","85.23","86.00","82.33","4.31M","-2.54%"
"11/06/2022","85.52","82.75","86.29","79.03","4.71M","0.85%"
"10/30/2022","84.80","77.32","86.58","76.80","7.99M","10.55%"
"10/23/2022","76.71","79.00","82.77","76.51","8.53M","-3.16%"
