"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2023","97.800","97.500","97.800","97.000","2.14K","0.82%"
"12/24/2023","97.000","101.030","104.000","97.000","7.49M","-2.51%"
"12/17/2023","99.500","100.000","100.050","98.000","7.98M","-0.50%"
"12/10/2023","100.000","99.000","107.500","95.010","1.76M","2.80%"
"12/03/2023","97.280","97.150","112.000","92.650","5.67M","0.13%"
"11/26/2023","97.150","96.000","103.000","92.000","2.12M","4.09%"
"11/19/2023","93.330","97.910","103.650","91.010","171.31K","-0.74%"
"11/12/2023","94.030","102.370","102.370","90.510","170.50K","-3.56%"
"11/05/2023","97.500","100.940","100.940","96.500","64.78K","-5.34%"
"10/29/2023","103.000","96.350","117.000","96.350","207.11K","1.56%"
"10/22/2023","101.420","93.000","104.600","93.000","108.35K","9.05%"
"10/15/2023","93.000","103.000","103.000","91.000","102.54K","-12.59%"
"10/01/2023","106.400","112.000","112.000","103.000","172.77K","-9.75%"
"09/24/2023","117.900","89.500","118.110","89.500","396.75K","31.07%"
"09/17/2023","89.950","89.900","90.000","89.900","78.24K","-0.04%"
"09/10/2023","89.990","93.980","93.980","89.750","29.29K","-6.26%"
"09/03/2023","96.000","93.500","99.940","93.500","168.18K","2.67%"
"08/27/2023","93.500","93.350","103.000","90.000","115.99K","0.21%"
"08/20/2023","93.300","93.500","94.900","90.000","677.14K","-0.21%"
"08/13/2023","93.500","99.950","99.950","93.350","95.40K","-6.45%"
"08/06/2023","99.950","108.000","108.000","99.900","16.94K","-5.71%"
"07/30/2023","106.000","106.000","106.000","106.000","2.32K","0.95%"
"07/23/2023","105.000","100.500","105.000","100.500","132.85K","4.61%"
"07/16/2023","100.370","104.110","104.110","99.000","98.33K","-3.59%"
"07/09/2023","104.110","112.690","113.000","104.100","77.20K","-9.47%"
"07/02/2023","115.000","115.000","115.000","115.000","0.86K","-1.59%"
"06/25/2023","116.860","110.670","116.950","98.350","1.82M","2.96%"
"06/18/2023","113.500","113.450","113.500","113.450","2.20M","0.00%"
"06/04/2023","113.500","112.400","113.500","112.400","0.65K","2.11%"
"05/28/2023","111.150","114.000","117.000","111.150","1.69K","-3.46%"
"05/21/2023","115.130","115.130","115.130","115.130","0.39K","-1.49%"
"05/14/2023","116.870","113.000","118.990","111.950","5.35K","4.26%"
"05/07/2023","112.100","114.960","115.000","105.000","4.75M","-3.56%"
"04/30/2023","116.240","117.330","117.530","116.240","1.02K","-3.13%"
"04/23/2023","120.000","116.900","124.590","116.900","1.72M","0.70%"
"04/09/2023","119.160","119.210","119.210","115.620","1.19K","2.95%"
"04/02/2023","115.740","113.480","115.740","115.740","0.62K","1.99%"
"03/26/2023","113.480","113.500","122.000","103.000","2.28M","0.86%"
"03/19/2023","112.510","130.000","130.000","112.510","215.35K","-12.41%"
"03/12/2023","128.450","126.350","130.000","98.200","4.11M","-3.42%"
"03/05/2023","133.000","133.900","133.900","129.250","5.39M","-4.12%"
"02/26/2023","138.720","124.160","149.250","123.000","192.95K","8.38%"
"02/12/2023","128.000","122.610","128.000","122.610","9.15K","1.07%"
"02/05/2023","126.640","120.100","126.640","96.000","159.39K","8.31%"
"01/29/2023","116.920","122.290","155.000","116.500","4.87M","0.39%"
"01/22/2023","116.470","116.000","128.300","108.000","4.47M","3.99%"
"01/15/2023","112.000","109.500","114.950","109.500","6.68K","6.61%"
"01/08/2023","105.060","113.000","113.000","102.000","35.23K","-7.03%"
"01/01/2023","113.000","129.500","129.500","110.000","3.08K","-16.61%"
"12/25/2022","135.510","114.000","140.000","107.000","1.61M","14.90%"
"12/18/2022","117.940","129.000","129.000","113.430","3.86M","-11.32%"
"12/11/2022","133.000","114.300","148.000","114.300","6.01M","16.29%"
"12/04/2022","114.370","100.700","114.500","99.500","12.78K","7.90%"
"11/27/2022","106.000","98.000","115.000","98.000","465.97K","10.41%"
"11/13/2022","96.010","96.010","96.010","96.010","1.48K","-4.23%"
"11/06/2022","100.250","100.250","100.250","100.250","0.65K","0.00%"
"10/30/2022","100.250","102.860","108.000","100.250","51.69K","-2.67%"
"10/23/2022","103.000","104.350","104.350","95.500","99.60K","-6.19%"
"10/16/2022","109.800","111.460","111.460","109.330","4.01K","-2.09%"
"10/09/2022","112.140","101.950","116.250","100.000","2.76M","9.95%"
"10/02/2022","101.990","121.140","121.140","95.000","51.09K","-18.28%"
"09/25/2022","124.810","93.210","125.000","93.010","3.17M","36.26%"
"09/18/2022","91.600","95.830","95.830","91.500","113.59K","-1.55%"
"09/11/2022","93.040","93.000","103.630","93.000","20.57K","2.24%"
"09/04/2022","91.000","95.070","95.070","91.000","2.07M","-1.41%"
"08/28/2022","92.300","92.300","92.300","92.300","1.34K","-0.27%"
"08/21/2022","92.550","94.610","94.610","92.000","2.70K","-2.48%"
"08/14/2022","94.900","97.890","97.890","93.600","2.79K","-5.01%"
"08/07/2022","99.910","92.250","99.950","92.250","7.40K","5.06%"
"07/31/2022","95.100","95.530","95.610","95.000","4.07K","-2.49%"
"07/24/2022","97.530","95.530","97.530","95.530","5.16K","4.86%"
"07/17/2022","93.010","98.030","100.000","92.000","89.90K","-5.57%"
"07/10/2022","98.500","97.030","105.000","95.330","942.83K","0.52%"
"07/03/2022","97.990","96.830","99.900","92.000","10.53K","-0.83%"
"06/26/2022","98.810","101.330","101.330","90.000","60.63K","-3.16%"
"06/19/2022","102.030","100.990","103.800","98.330","7.44K","2.03%"
"06/12/2022","100.000","90.500","100.990","90.500","9.29K","-4.75%"
"06/05/2022","104.990","99.930","106.000","99.800","844.44K","2.16%"
"05/29/2022","102.770","97.000","106.000","75.300","3.74M","8.07%"
"05/22/2022","95.100","92.600","97.800","90.110","139.11K","5.76%"
"05/15/2022","89.920","86.000","102.000","84.010","7.38M","1.96%"
"05/08/2022","88.190","87.650","88.200","86.000","5.66K","1.95%"
"05/01/2022","86.500","91.000","91.000","86.500","4.69K","-6.99%"
"04/24/2022","93.000","93.000","95.500","88.090","8.66K","-0.17%"
"04/17/2022","93.160","89.000","97.000","85.000","189.91K","8.90%"
"04/10/2022","85.550","94.890","94.930","84.010","19.54K","-8.12%"
"04/03/2022","93.110","97.970","97.970","90.480","22.63K","-7.81%"
"03/27/2022","101.000","92.500","109.000","90.950","241.39K","13.59%"
"03/20/2022","88.920","92.950","95.000","69.300","7.72M","0.63%"
"03/13/2022","88.360","93.000","95.500","88.000","66.01K","-9.78%"
"03/06/2022","97.940","98.000","98.230","93.850","27.73K","1.95%"
"02/27/2022","96.070","102.950","104.000","96.000","45.61K","-4.82%"
"02/20/2022","100.940","107.000","107.000","100.000","2.01M","-6.54%"
"02/13/2022","108.000","100.000","108.330","95.200","4.01M","8.00%"
"02/06/2022","100.000","103.750","103.750","98.000","13.02K","-8.27%"
"01/30/2022","109.020","105.210","110.000","95.020","4.19M","-1.55%"
"01/23/2022","110.740","109.500","110.750","104.760","1.24M","8.73%"
"01/16/2022","101.850","105.030","106.510","100.000","54.29K","-3.00%"
"01/09/2022","105.000","114.130","114.130","105.000","4.50K","-10.74%"
"01/02/2022","117.630","120.000","120.000","114.000","3.19K","-5.90%"
"12/26/2021","125.000","123.000","125.000","108.680","3.53M","0.81%"
"12/19/2021","123.990","99.090","129.990","99.090","3.92M","30.27%"
"12/12/2021","95.180","104.160","110.000","95.000","7.28M","-8.62%"
"12/05/2021","104.160","140.160","142.500","98.610","2.88M","-27.90%"
"11/28/2021","144.470","100.000","144.500","98.000","3.99M","44.47%"
"11/21/2021","100.000","101.480","105.500","97.500","239.61K","-3.28%"
"11/14/2021","103.390","100.550","105.000","93.410","947.72K","0.99%"
"11/07/2021","102.380","95.000","105.000","92.020","144.00K","8.97%"
"10/31/2021","93.950","98.010","98.010","93.930","115.34K","-5.61%"
"10/24/2021","99.530","91.000","100.000","90.500","132.64K","7.60%"
"10/17/2021","92.500","95.000","95.000","88.020","361.70K","-2.85%"
"10/10/2021","95.210","95.000","95.210","92.000","7.40K","2.67%"
"10/03/2021","92.730","100.000","100.000","92.200","11.83K","-6.33%"
"09/26/2021","99.000","92.750","99.510","91.010","23.87K","3.55%"
"09/19/2021","95.610","96.000","112.450","93.150","272.22K","-2.93%"
"09/12/2021","98.500","85.800","103.000","85.500","534.36K","14.36%"
"09/05/2021","86.130","85.000","88.000","85.000","16.87K","-0.43%"
"08/29/2021","86.500","87.000","87.990","82.500","1.58M","-1.08%"
"08/22/2021","87.440","83.200","89.800","83.200","18.10K","2.87%"
"08/15/2021","85.000","89.460","89.890","82.200","100.77K","-4.52%"
"08/08/2021","89.020","82.010","90.000","69.750","4.09M","11.07%"
"08/01/2021","80.150","81.550","91.990","75.010","3.55M","5.49%"
"07/25/2021","75.980","94.290","96.490","75.900","2.05M","-19.56%"
"07/18/2021","94.450","94.000","98.000","93.100","26.94K","4.34%"
"07/11/2021","90.520","99.930","99.930","89.000","36.73K","-4.87%"
"07/04/2021","95.150","129.000","130.000","92.850","491.93K","-25.06%"
"06/27/2021","126.970","130.060","138.600","124.010","3.92M","-3.81%"
"06/20/2021","132.000","120.030","143.300","112.050","5.77M","4.48%"
"06/13/2021","126.340","109.260","145.500","105.000","3.20M","9.86%"
"06/06/2021","115.000","94.250","115.000","93.050","76.72K","22.97%"
"05/30/2021","93.520","95.020","97.000","93.050","22.46K","-1.55%"
"05/23/2021","94.990","92.170","97.500","92.170","19.53K","0.20%"
"05/16/2021","94.800","92.520","94.950","88.910","49.31K","1.30%"
"05/09/2021","93.580","98.210","99.000","92.500","72.21K","-6.14%"
"05/02/2021","99.700","94.000","102.000","93.100","21.08K","7.29%"
"04/25/2021","92.930","106.000","106.000","90.010","36.33K","-14.32%"
"04/18/2021","108.460","96.500","108.500","93.850","550.96K","9.80%"
"04/11/2021","98.780","85.200","102.000","85.200","311.70K","19.62%"
"04/04/2021","82.580","93.100","96.500","82.500","590.91K","-12.16%"
"03/28/2021","94.010","95.450","95.450","91.500","18.57K","2.98%"
"03/21/2021","91.290","109.500","109.900","91.200","356.04K","-18.98%"
"03/14/2021","112.680","92.380","118.300","89.130","757.98K","23.27%"
"03/07/2021","91.410","85.000","93.000","80.500","2.85M","7.91%"
"02/28/2021","84.710","96.050","102.000","68.000","7.71M","-7.40%"
"02/21/2021","91.480","98.370","106.750","91.000","378.80K","-6.99%"
"02/14/2021","98.360","105.950","105.950","90.850","1.39M","-4.36%"
"02/07/2021","102.840","106.000","109.000","102.500","241.15K","-0.52%"
"01/31/2021","103.380","103.140","109.190","100.000","934.50K","0.23%"
"01/24/2021","103.140","105.000","116.000","100.000","3.96M","2.62%"
"01/17/2021","100.510","111.300","116.800","100.500","2.96M","-5.20%"
"01/10/2021","106.020","126.640","126.640","106.010","6.04M","-20.47%"
"12/27/2020","133.300","135.300","137.500","126.900","15.85K","3.33%"
"12/20/2020","129.000","157.850","157.850","124.000","3.97M","-21.30%"
"12/13/2020","163.910","171.000","171.000","163.000","1.47K","-8.93%"
"11/29/2020","179.990","128.250","187.900","128.230","13.63K","47.27%"
"11/22/2020","122.220","100.100","126.000","100.100","1.18M","18.55%"
"11/15/2020","103.100","100.280","103.100","96.000","3.82K","2.05%"
"11/08/2020","101.030","120.470","120.470","99.000","1.26M","-18.66%"
"11/01/2020","124.200","124.500","129.750","120.880","11.56K","2.81%"
"10/25/2020","120.810","95.000","122.750","84.000","3.58M","29.26%"
"10/18/2020","93.460","105.000","105.000","88.500","2.12M","-11.41%"
"10/11/2020","105.500","73.000","106.010","73.000","2.06M","49.65%"
"10/04/2020","70.500","81.420","82.000","70.500","6.05M","-12.15%"
"09/27/2020","80.250","104.000","104.000","80.250","26.35K","-26.19%"
"09/20/2020","108.730","139.000","139.000","106.250","6.84M","-24.49%"
"09/06/2020","144.000","144.000","144.000","144.000","560.13K","-3.87%"
"08/16/2020","149.800","149.800","149.800","149.800","0.29K","-4.89%"
"08/09/2020","157.500","157.500","157.500","157.500","575.20K","-3.37%"
"07/26/2020","163.000","128.000","167.000","128.000","22.65K","27.34%"
"07/05/2020","128.000","128.000","128.000","128.000","0.56K","-2.29%"
"06/21/2020","131.000","92.700","131.000","92.700","10.11M","45.56%"
"06/14/2020","90.000","106.500","106.500","90.000","5.67M","-18.18%"
"05/31/2020","110.000","111.000","111.000","110.000","2.10M","0.27%"
"05/24/2020","109.700","132.500","132.500","105.000","2.95M","-20.51%"
"05/17/2020","138.000","143.000","143.000","136.000","0.79K","-7.69%"
"05/10/2020","149.500","121.000","149.500","121.000","796.98K","23.55%"
"04/26/2020","121.000","97.500","121.000","97.500","1.01M","30.11%"
"04/19/2020","93.000","80.500","93.000","80.500","1.02M","15.53%"
"04/12/2020","80.500","80.500","80.500","80.500","31.12K","0.00%"
"04/05/2020","80.500","80.500","80.500","80.500","9.03K","-4.28%"
"03/29/2020","84.100","106.750","117.500","84.100","1.19M","-17.35%"
"03/15/2020","101.750","125.000","136.750","101.750","3.84M","-15.03%"
"03/08/2020","119.750","120.000","132.000","119.750","144.27K","4.13%"
"02/23/2020","115.000","119.500","119.500","115.000","0.64K","-9.45%"
"02/16/2020","127.000","127.000","127.000","127.000","0.20K","0.00%"
"01/19/2020","127.000","127.000","127.000","127.000","102.06K","-2.12%"
"12/29/2019","129.750","129.750","129.750","129.750","0.24K","3.80%"
"12/22/2019","125.000","107.500","129.750","107.500","303.75K","21.95%"
"12/15/2019","102.500","85.500","102.500","85.500","42.51K","19.88%"
"12/08/2019","85.500","85.000","92.000","85.000","32.38K","-2.84%"
"12/01/2019","88.000","89.000","89.000","81.000","2.50M","-5.12%"
"11/17/2019","92.750","88.500","92.750","88.500","0.52K","8.48%"
"11/03/2019","85.500","88.250","92.250","85.500","44.46K","0.59%"
"10/27/2019","85.000","85.000","85.000","85.000","27.68K","0.00%"
"10/20/2019","85.000","85.000","85.000","85.000","2.52K","0.00%"
"10/13/2019","85.000","82.000","85.000","82.000","6.67K","3.66%"
"10/06/2019","82.000","90.000","91.500","82.000","9.71K","-11.83%"
"09/29/2019","93.000","93.000","93.000","93.000","0.93K","4.49%"
"09/22/2019","89.000","85.000","89.000","82.000","5.54K","4.71%"
"09/15/2019","85.000","93.000","93.000","85.000","17.57K","-8.60%"
"09/08/2019","93.000","97.500","97.500","93.000","10.55K","-6.53%"
"09/01/2019","99.500","99.500","99.500","99.500","","0.00%"
"08/25/2019","99.500","84.000","99.500","84.000","41.18K","18.45%"
"08/18/2019","84.000","84.000","84.000","84.000","367.08K","0.00%"
"08/11/2019","84.000","84.000","84.000","84.000","6.05K","0.00%"
"08/04/2019","84.000","83.500","84.000","83.000","32.18K","0.60%"
"07/21/2019","83.500","83.500","83.500","83.500","6.04K","-0.60%"
"07/14/2019","84.000","84.000","84.000","84.000","228.25K","1.82%"
"07/07/2019","82.500","82.500","82.500","82.500","","0.00%"
"06/30/2019","82.500","83.500","84.000","80.000","291.91K","1.23%"
"06/23/2019","81.500","87.000","87.000","80.000","376.19K","-9.44%"
"06/16/2019","90.000","93.000","93.000","90.000","126.01K","-6.25%"
"06/09/2019","96.000","96.000","96.000","96.000","43.00K","-4.00%"
"06/02/2019","100.000","113.000","113.000","100.000","2.20K","-11.50%"
"05/12/2019","113.000","113.000","113.000","113.000","2.00K","0.00%"
"04/21/2019","113.000","114.000","114.000","108.500","239.30K","-5.04%"
"03/31/2019","119.000","119.000","119.000","119.000","0.20K","3.48%"
"03/24/2019","115.000","107.750","115.000","100.000","29.21K","1.77%"
"03/03/2019","113.000","104.750","113.000","104.750","2.51K","10.24%"
"02/17/2019","102.500","102.500","102.500","102.500","4.00K","0.00%"
"02/03/2019","102.500","100.000","105.750","100.000","84.91K","-1.44%"
"01/27/2019","104.000","109.000","109.000","104.000","3.02K","-9.57%"
"01/13/2019","115.000","118.500","118.500","115.000","995.02K","1.75%"
"01/06/2019","113.020","103.500","114.180","100.000","1.07M","15.33%"
"12/30/2018","98.000","118.000","118.000","98.000","53.65K","-17.65%"
"12/23/2018","119.000","119.000","119.000","119.000","0.10K","0.00%"
"12/02/2018","119.000","119.000","119.000","119.000","1.00K","-0.83%"
"11/25/2018","120.000","120.000","120.000","120.000","7.50K","0.00%"
"11/04/2018","120.000","120.000","120.000","120.000","23.01K","0.00%"
"10/14/2018","120.000","120.000","120.000","120.000","0.12K","0.00%"
"09/16/2018","120.000","120.000","120.000","120.000","0.14K","-4.00%"
"09/09/2018","125.000","125.000","134.000","125.000","788.38K","4.60%"
"09/02/2018","119.500","112.000","119.500","111.000","715.01K","12.74%"
"08/26/2018","106.000","105.010","106.000","98.000","254.84K","0.94%"
"08/19/2018","105.010","115.000","115.000","105.010","950.34K","-8.69%"
"08/12/2018","115.000","115.000","115.000","115.000","695.65K","0.00%"
"07/29/2018","115.000","115.000","115.000","115.000","0.20K","0.00%"
"07/08/2018","115.000","115.000","115.000","115.000","0.24K","0.00%"
"07/01/2018","115.000","115.000","115.000","115.000","285.00K","0.00%"
"06/24/2018","115.000","115.000","115.000","115.000","572.50K","-8.00%"
"06/17/2018","125.000","120.000","125.000","120.000","8.10K","0.00%"
"06/10/2018","125.000","125.000","125.000","125.000","1.85K","0.00%"
"06/03/2018","125.000","117.000","128.000","117.000","190.41K","2.46%"
"05/27/2018","122.000","122.000","122.000","122.000","7.89K","0.00%"
"05/20/2018","122.000","119.000","132.000","119.000","1.23M","6.09%"
"05/13/2018","115.000","102.500","115.000","97.000","824.32K","12.20%"
"05/06/2018","102.500","112.000","112.000","102.500","188.92K","-11.64%"
"04/29/2018","116.000","110.000","116.000","110.000","7.50K","3.57%"
"04/22/2018","112.000","112.000","112.000","112.000","58.00K","-5.08%"
"04/15/2018","118.000","118.000","118.000","118.000","5.20K","-0.63%"
"04/01/2018","118.750","118.750","118.750","118.750","7.30K","0.00%"
"03/25/2018","118.750","118.750","118.750","118.750","0.20K","1.06%"
"03/18/2018","117.500","112.000","117.500","112.000","4.00K","6.72%"
"03/11/2018","110.100","118.900","118.900","110.000","106.07K","-7.40%"
"03/04/2018","118.900","118.900","118.900","118.900","1.00K","0.00%"
"02/25/2018","118.900","108.000","118.900","108.000","733.23K","13.24%"
"02/18/2018","105.000","95.250","105.000","95.000","653.00K","10.53%"
"02/11/2018","95.000","96.000","96.000","95.000","35.00K","-3.06%"
"02/04/2018","98.000","98.000","98.000","98.000","175.00K","3.16%"
"01/28/2018","95.000","92.000","95.000","92.000","321.00K","3.26%"
"01/21/2018","92.000","92.000","92.000","92.000","53.00K","0.00%"
"01/14/2018","92.000","92.000","92.000","92.000","618.12K","0.00%"
"01/07/2018","92.000","92.000","92.000","92.000","","0.00%"
"12/31/2017","92.000","96.000","96.000","92.000","38.16K","-4.17%"
"12/24/2017","96.000","96.000","96.000","96.000","300.00K","0.00%"
"12/17/2017","96.000","96.000","96.000","96.000","","0.00%"
"12/10/2017","96.000","96.000","96.000","96.000","","0.00%"
"12/03/2017","96.000","96.000","96.000","96.000","31.57K","0.00%"
"11/26/2017","96.000","109.000","110.500","96.000","43.57K","-13.12%"
"11/19/2017","110.500","102.000","110.500","102.000","7.34K","8.33%"
"11/12/2017","102.000","98.750","102.000","98.750","6.67K","7.37%"
"11/05/2017","95.000","95.000","95.000","95.000","","0.00%"
"10/29/2017","95.000","95.000","95.000","95.000","9.01K","0.00%"
"10/22/2017","95.000","95.000","95.000","95.000","","0.00%"
"10/15/2017","95.000","95.000","95.000","95.000","","0.00%"
"10/08/2017","95.000","95.000","95.000","95.000","9.01K","0.00%"
"10/01/2017","95.000","95.000","95.000","95.000","","0.00%"
"09/24/2017","95.000","95.000","95.000","95.000","5.21K","0.00%"
"09/17/2017","95.000","95.000","95.000","95.000","","0.00%"
"09/10/2017","95.000","98.500","98.500","93.000","490.00K","-4.52%"
"09/03/2017","99.500","96.000","99.500","96.000","707.43K","6.42%"
"08/27/2017","93.500","93.500","93.500","93.500","","0.00%"
"08/20/2017","93.500","93.500","93.500","93.500","350.00K","2.19%"
"08/13/2017","91.500","92.000","92.000","90.000","352.03K","-2.66%"
"08/06/2017","94.000","94.000","94.000","94.000","11.50K","0.00%"
"07/30/2017","94.000","94.000","94.000","94.000","6.00K","0.00%"
"07/23/2017","94.000","94.000","94.000","94.000","11.87K","0.00%"
"07/16/2017","94.000","94.000","94.000","94.000","9.32K","0.00%"
"07/09/2017","94.000","92.000","94.500","92.000","1.06M","2.45%"
"07/02/2017","91.750","91.750","91.750","91.750","1.10K","0.00%"
"06/25/2017","91.750","91.510","91.750","91.510","180.20K","0.27%"
"06/18/2017","91.500","91.500","91.500","91.500","","0.00%"
"06/11/2017","91.500","91.500","91.500","91.500","","0.00%"
"06/04/2017","91.500","91.500","91.500","91.500","","0.00%"
"05/28/2017","91.500","91.500","91.500","91.500","1.02K","0.00%"
"05/21/2017","91.500","91.500","91.500","91.500","","0.00%"
"05/14/2017","91.500","91.500","91.500","91.500","65.02K","0.00%"
"05/07/2017","91.500","91.500","91.500","91.500","","0.00%"
"04/30/2017","91.500","91.500","91.500","91.500","","0.00%"
"04/23/2017","91.500","91.500","91.500","91.500","15.10K","-2.66%"
"04/16/2017","94.000","90.500","94.000","90.500","335.00K","4.44%"
"04/09/2017","90.000","90.000","90.000","90.000","110.36K","-2.17%"
"04/02/2017","92.000","83.500","92.000","83.500","700.54K","8.24%"
"03/26/2017","85.000","85.000","85.000","85.000","34.01K","0.00%"
"03/19/2017","85.000","80.000","85.000","80.000","505.60K","6.25%"
"03/12/2017","80.000","80.000","80.000","80.000","50.00K","0.00%"
"03/05/2017","80.000","80.000","80.000","80.000","","0.00%"
"02/26/2017","80.000","80.000","80.000","80.000","11.50K","0.00%"
"02/19/2017","80.000","80.000","80.000","80.000","","0.00%"
"02/12/2017","80.000","80.000","80.000","80.000","250.00K","0.00%"
"02/05/2017","80.000","80.000","80.000","80.000","","0.00%"
"01/29/2017","80.000","80.000","80.000","80.000","15.12K","-0.31%"
"01/22/2017","80.250","80.000","82.400","80.000","159.58K","0.31%"
"01/15/2017","80.000","80.000","80.000","80.000","","0.00%"
"01/08/2017","80.000","80.050","80.050","80.000","0.38K","-0.06%"
"01/01/2017","80.050","80.050","80.050","80.050","","0.00%"
"12/25/2016","80.050","80.050","80.050","80.050","","0.00%"
"12/18/2016","80.050","80.050","80.050","80.050","0.10K","0.06%"
"12/11/2016","80.000","80.000","80.000","80.000","","0.00%"
"12/04/2016","80.000","80.000","80.000","80.000","","0.00%"
"11/27/2016","80.000","80.000","80.000","80.000","","0.00%"
"11/20/2016","80.000","80.000","80.000","80.000","30.26K","0.00%"
"11/13/2016","80.000","80.000","80.000","80.000","3.00K","0.00%"
"11/06/2016","80.000","87.000","87.000","80.000","1.53M","-5.88%"
"10/30/2016","85.000","83.000","85.450","83.000","950.29K","8.27%"
"10/23/2016","78.510","78.510","78.510","78.510","","0.00%"
"10/16/2016","78.510","78.510","78.510","78.510","","0.00%"
"10/09/2016","78.510","78.510","78.510","78.510","14.61K","1.63%"
"10/02/2016","77.250","77.250","77.250","77.250","","0.00%"
"09/25/2016","77.250","77.250","77.250","77.250","","0.00%"
"09/18/2016","77.250","77.250","77.250","77.250","","0.00%"
"09/11/2016","77.250","77.250","77.250","77.250","100.00K","0.00%"
"09/04/2016","77.250","77.250","77.250","77.250","","0.00%"
"08/28/2016","77.250","77.250","77.250","77.250","","0.00%"
"08/21/2016","77.250","75.000","77.250","75.000","141.59K","8.04%"
"08/14/2016","71.500","71.500","71.500","71.500","","0.00%"
"08/07/2016","71.500","71.500","71.500","71.500","","0.00%"
"07/31/2016","71.500","71.500","71.500","71.500","2.06M","0.00%"
"07/24/2016","71.500","71.500","71.500","71.500","2.01K","0.00%"
"07/17/2016","71.500","71.500","71.500","71.500","0.16K","0.00%"
"07/10/2016","71.500","71.500","71.500","71.500","","0.00%"
"07/03/2016","71.500","71.500","71.500","71.500","","0.00%"
"06/26/2016","71.500","71.500","71.500","71.500","","0.00%"
"06/19/2016","71.500","75.000","75.000","71.500","50.10K","-4.67%"
"06/12/2016","75.000","75.000","75.000","75.000","","0.00%"
"06/05/2016","75.000","75.000","75.000","75.000","","0.00%"
"05/29/2016","75.000","75.000","75.000","75.000","","0.00%"
"05/22/2016","75.000","75.000","75.000","75.000","25.00K","-6.25%"
"05/15/2016","80.000","80.000","80.000","80.000","","0.00%"
"05/08/2016","80.000","78.800","80.000","78.800","131.02K","1.52%"
"05/01/2016","78.800","78.800","78.800","78.800","1.00K","0.00%"
"04/24/2016","78.800","78.800","78.800","78.800","0.10K","0.00%"
"04/03/2016","78.800","78.800","78.800","78.800","50.28K","0.00%"
