"Date","Price","Open","High","Low","Vol.","Change %"
"08/08/2023","50.67","50.65","51.25","50.60","10.63M","0.06%"
"08/07/2023","50.64","50.97","51.00","50.60","6.91M","-0.22%"
"08/06/2023","50.75","51.10","51.10","50.61","1.93M","-0.29%"
"08/03/2023","50.90","50.82","51.20","50.60","1.98M","-0.53%"
"08/02/2023","51.17","50.60","51.20","50.50","4.60M","0.73%"
"08/01/2023","50.80","50.50","50.80","50.50","10.37M","0.59%"
"07/31/2023","50.50","51.00","51.13","50.48","11.47M","-0.49%"
"07/30/2023","50.75","51.16","51.30","50.72","1.60M","-0.84%"
"07/27/2023","51.18","50.89","51.25","50.62","3.46M","0.69%"
"07/26/2023","50.83","51.00","51.66","50.83","4.27M","-0.82%"
"07/25/2023","51.25","51.12","52.00","50.70","9.74M","0.49%"
"07/24/2023","51.00","50.60","51.39","50.59","5.16M","1.29%"
"07/19/2023","50.35","50.10","50.38","49.90","5.67M","0.50%"
"07/18/2023","50.10","50.09","50.69","49.72","4.26M","0.20%"
"07/17/2023","50.00","49.50","51.05","49.30","7.07M","1.01%"
"07/16/2023","49.50","50.00","50.00","49.50","453.82K","-0.20%"
"07/13/2023","49.60","49.20","50.33","49.10","3.03M","0.81%"
"07/12/2023","49.20","48.89","49.59","48.33","4.35M","0.63%"
"07/11/2023","48.89","48.55","49.20","47.91","6.66M","1.01%"
"07/10/2023","48.40","47.65","48.55","47.26","7.65M","1.57%"
"07/09/2023","47.65","48.28","48.75","47.60","1.88M","-1.24%"
