"Date","Price","Open","High","Low","Vol.","Change %"
"12/27/2020","10,585.56","10,683.86","10,701.70","10,585.51","214.37M","-0.92%"
"12/24/2020","10,683.86","10,677.51","10,730.07","10,677.51","259.64M","0.06%"
"12/23/2020","10,677.51","10,655.91","10,717.00","10,655.91","171.41M","0.20%"
"12/22/2020","10,655.91","10,581.76","10,655.91","10,545.86","138.82M","0.70%"
"12/21/2020","10,581.76","10,890.30","10,890.96","10,580.55","235.29M","-2.83%"
"12/20/2020","10,890.30","10,844.58","10,895.08","10,823.33","106.41M","0.42%"
"12/17/2020","10,844.58","10,983.03","10,983.03","10,843.47","130.10M","-1.26%"
"12/16/2020","10,983.03","11,057.62","11,063.83","10,983.03","154.80M","-0.67%"
"12/15/2020","11,057.62","11,047.97","11,100.78","11,047.97","195.64M","0.09%"
"12/14/2020","11,047.97","11,003.77","11,072.77","11,003.77","175.25M","0.40%"
"12/13/2020","11,003.77","10,987.39","11,003.97","10,979.29","115.48M","0.15%"
"12/10/2020","10,987.39","11,018.09","11,022.18","10,987.39","139.08M","-0.28%"
"12/09/2020","11,018.09","11,019.08","11,049.64","11,013.35","183.76M","-0.01%"
"12/08/2020","11,019.08","10,995.13","11,019.90","10,989.26","236.33M","0.22%"
"12/07/2020","10,995.13","11,024.84","11,036.43","10,995.08","247.85M","-0.27%"
"12/06/2020","11,024.84","11,015.01","11,044.38","11,015.01","284.84M","0.09%"
"12/03/2020","11,015.01","11,023.34","11,027.70","10,970.36","125.70M","-0.08%"
"12/02/2020","11,023.34","11,040.78","11,103.72","11,023.34","219.67M","-0.16%"
"12/01/2020","11,040.78","10,943.35","11,040.95","10,937.88","178.18M","0.89%"
"11/30/2020","10,943.35","11,009.27","11,017.56","10,940.41","170.43M","-0.60%"
"11/29/2020","11,009.27","10,980.96","11,026.28","10,980.45","139.91M","0.26%"
"11/26/2020","10,980.96","11,068.44","11,085.77","10,966.49","127.71M","-0.79%"
"11/25/2020","11,068.44","10,997.35","11,112.49","10,997.35","238.34M","0.65%"
"11/24/2020","10,997.35","10,885.11","10,998.93","10,885.11","271.12M","1.03%"
"11/23/2020","10,885.11","10,858.26","10,924.78","10,858.26","226.03M","0.25%"
"11/22/2020","10,858.26","10,898.67","10,920.66","10,852.72","73.95M","-0.37%"
"11/19/2020","10,898.67","10,989.72","10,989.72","10,890.08","123.62M","-0.83%"
"11/18/2020","10,989.72","11,063.98","11,070.03","10,989.72","121.42M","-0.67%"
"11/17/2020","11,063.98","10,991.61","11,076.74","10,991.61","234.76M","0.66%"
"11/16/2020","10,991.61","10,953.13","10,994.38","10,953.13","145.17M","0.35%"
"11/15/2020","10,953.13","11,017.28","11,042.74","10,953.13","124.85M","-0.58%"
"11/12/2020","11,017.28","10,997.65","11,028.41","10,997.65","213.68M","0.18%"
"11/11/2020","10,997.65","11,077.25","11,077.25","10,982.18","174.25M","-0.72%"
"11/10/2020","11,077.25","10,838.66","11,122.98","10,838.66","206.46M","2.20%"
"11/09/2020","10,838.66","10,680.27","10,838.66","10,680.27","188.23M","1.48%"
"11/08/2020","10,680.27","10,629.29","10,680.27","10,613.13","50.47M","0.48%"
"11/05/2020","10,629.29","10,556.89","10,637.82","10,513.58","89.51M","0.69%"
"11/04/2020","10,556.89","10,512.16","10,562.75","10,512.16","75.91M","0.43%"
"11/03/2020","10,512.16","10,429.34","10,512.16","10,426.93","114.15M","0.79%"
"11/02/2020","10,429.34","10,456.33","10,511.48","10,426.92","181.86M","-0.26%"
"11/01/2020","10,456.33","10,515.25","10,515.25","10,456.33","131.34M","-0.56%"
"10/28/2020","10,515.25","10,559.71","10,581.33","10,496.13","155.64M","-0.42%"
"10/27/2020","10,559.71","10,511.94","10,559.98","10,511.79","158.49M","0.45%"
"10/26/2020","10,511.94","10,602.98","10,649.05","10,500.54","90.99M","-0.86%"
"10/25/2020","10,602.98","10,987.43","10,987.43","10,414.66","113.94M","-3.50%"
"10/22/2020","10,987.43","11,101.63","11,101.63","10,987.07","181.24M","-1.03%"
"10/21/2020","11,101.63","11,157.62","11,184.04","11,101.63","148.50M","-0.50%"
"10/20/2020","11,157.62","11,171.36","11,175.89","11,123.17","106.28M","-0.12%"
"10/19/2020","11,171.36","11,185.15","11,199.91","11,163.11","113.33M","-0.12%"
"10/18/2020","11,185.15","11,322.71","11,322.71","11,185.15","92.63M","-1.21%"
"10/15/2020","11,322.71","11,333.91","11,375.85","11,322.71","148.34M","-0.10%"
"10/14/2020","11,333.91","11,291.81","11,334.06","11,282.69","157.50M","0.37%"
"10/13/2020","11,291.81","11,397.65","11,397.65","11,291.72","125.52M","-0.93%"
"10/12/2020","11,397.65","11,360.37","11,423.92","11,360.37","218.69M","0.33%"
"10/11/2020","11,360.37","11,326.98","11,382.11","11,326.98","254.04M","0.29%"
"10/07/2020","11,326.98","11,146.18","11,344.82","11,146.18","203.28M","1.62%"
"10/06/2020","11,146.18","11,007.69","11,146.22","11,007.69","167.20M","1.26%"
"10/05/2020","11,007.69","11,071.46","11,122.65","10,999.90","105.00M","-0.58%"
"10/04/2020","11,071.46","11,051.30","11,083.15","11,051.30","102.04M","0.18%"
"10/01/2020","11,051.30","10,989.27","11,065.23","10,988.86","126.54M","0.56%"
"09/30/2020","10,989.27","10,987.19","10,999.37","10,975.83","128.05M","0.02%"
"09/29/2020","10,987.19","10,969.94","11,000.83","10,969.94","160.09M","0.16%"
"09/28/2020","10,969.94","10,902.22","10,985.76","10,902.22","221.88M","0.62%"
"09/27/2020","10,902.22","10,911.44","10,993.60","10,898.72","131.61M","-0.08%"
"09/24/2020","10,911.44","10,979.44","10,979.44","10,887.88","115.82M","-0.62%"
"09/23/2020","10,979.44","10,963.01","11,062.28","10,963.01","126.56M","0.15%"
"09/22/2020","10,963.01","10,910.37","10,963.01","10,818.29","156.21M","0.48%"
"09/21/2020","10,910.37","10,969.32","11,025.53","10,910.33","199.99M","-0.54%"
"09/20/2020","10,969.32","11,050.89","11,050.89","10,949.99","85.17M","-0.74%"
"09/17/2020","11,050.89","11,088.20","11,110.95","11,050.89","701.25M","-0.34%"
"09/16/2020","11,088.20","11,028.06","11,091.40","11,027.32","136.48M","0.55%"
"09/15/2020","11,028.06","11,034.38","11,049.54","11,013.17","102.60M","-0.06%"
"09/14/2020","11,034.38","11,091.67","11,119.75","11,034.07","156.85M","-0.52%"
"09/13/2020","11,091.67","11,070.84","11,100.76","11,049.31","120.05M","0.19%"
"09/10/2020","11,070.84","10,929.89","11,073.85","10,929.89","134.56M","1.29%"
"09/09/2020","10,929.89","10,951.29","10,954.69","10,873.66","168.24M","-0.20%"
"09/08/2020","10,951.29","11,136.03","11,136.03","10,937.29","205.12M","-1.66%"
"09/07/2020","11,136.03","11,073.02","11,190.53","11,072.00","170.24M","0.57%"
"09/06/2020","11,073.02","11,180.81","11,180.81","11,041.28","107.37M","-0.96%"
"09/03/2020","11,180.81","11,214.22","11,254.92","11,180.12","145.58M","-0.30%"
"09/02/2020","11,214.22","11,233.94","11,243.34","11,183.44","195.27M","-0.18%"
"09/01/2020","11,233.94","11,365.99","11,367.01","11,233.94","182.66M","-1.16%"
"08/31/2020","11,365.99","11,434.81","11,490.42","11,365.99","247.25M","-0.60%"
"08/30/2020","11,434.81","11,462.45","11,478.03","11,419.61","190.87M","-0.24%"
"08/27/2020","11,462.45","11,453.78","11,468.18","11,422.85","264.89M","0.08%"
"08/26/2020","11,453.78","11,461.62","11,493.43","11,453.78","242.40M","-0.07%"
"08/25/2020","11,461.62","11,433.76","11,476.10","11,431.55","272.32M","0.24%"
"08/24/2020","11,433.76","11,391.08","11,461.65","11,391.08","321.00M","0.37%"
"08/23/2020","11,391.08","11,160.05","11,391.08","11,160.05","222.38M","2.07%"
"08/19/2020","11,160.05","11,077.11","11,160.16","11,076.86","195.16M","0.75%"
"08/18/2020","11,077.11","11,142.77","11,142.77","11,072.86","161.90M","-0.59%"
"08/17/2020","11,142.77","11,120.26","11,193.72","11,100.69","222.48M","0.20%"
"08/16/2020","11,120.26","10,944.18","11,131.36","10,944.18","234.57M","1.61%"
"08/13/2020","10,944.18","10,922.33","10,967.80","10,914.79","153.73M","0.20%"
"08/12/2020","10,922.33","10,919.47","10,974.65","10,919.47","230.84M","0.03%"
"08/11/2020","10,919.47","10,938.23","10,995.70","10,889.40","435.82M","-0.17%"
"08/10/2020","10,938.23","10,962.52","11,047.01","10,937.98","181.12M","-0.22%"
"08/09/2020","10,962.52","10,817.29","10,964.27","10,817.29","250.55M","1.34%"
"08/06/2020","10,817.29","10,704.33","10,827.28","10,704.33","279.30M","1.06%"
"08/05/2020","10,704.33","10,620.10","10,705.50","10,620.10","305.66M","0.79%"
"08/04/2020","10,620.10","10,599.46","10,668.90","10,596.80","329.56M","0.19%"
"07/29/2020","10,599.46","10,568.84","10,599.46","10,568.84","273.64M","0.29%"
"07/28/2020","10,568.84","10,575.47","10,621.90","10,568.54","164.19M","-0.06%"
"07/27/2020","10,575.47","10,524.45","10,592.33","10,524.45","109.87M","0.48%"
"07/26/2020","10,524.45","10,459.92","10,524.45","10,459.92","128.90M","0.62%"
"07/22/2020","10,459.92","10,558.35","10,570.96","10,457.75","109.87M","-0.93%"
"07/21/2020","10,558.35","10,380.45","10,593.76","10,380.45","194.99M","1.71%"
"07/20/2020","10,380.45","10,281.16","10,380.45","10,277.89","514.57M","0.97%"
"07/19/2020","10,281.16","10,441.20","10,476.02","10,271.96","166.12M","-1.53%"
"07/16/2020","10,441.20","10,617.42","10,617.42","10,378.23","145.50M","-1.66%"
"07/15/2020","10,617.42","10,873.53","10,932.57","10,617.42","351.42M","-2.36%"
"07/14/2020","10,873.53","11,007.85","11,007.85","10,867.70","682.79M","-1.22%"
"07/13/2020","11,007.85","11,071.96","11,140.45","11,007.85","682.79M","-0.58%"
"07/12/2020","11,071.96","10,957.02","11,072.12","10,957.02","198.09M","1.05%"
"07/09/2020","10,957.02","11,127.85","11,127.85","10,944.58","290.16M","-1.54%"
"07/08/2020","11,127.85","11,050.20","11,172.57","11,050.20","400.06M","0.70%"
"07/07/2020","11,050.20","11,087.64","11,104.32","11,037.43","227.95M","-0.34%"
"07/06/2020","11,087.64","10,959.35","11,100.75","10,959.35","232.41M","1.17%"
"07/05/2020","10,959.35","10,764.59","10,962.30","10,764.59","290.77M","1.81%"
"06/30/2020","10,764.59","10,750.10","10,821.72","10,750.10","232.41M","0.13%"
"06/29/2020","10,750.10","10,848.65","10,852.46","10,744.19","261.62M","-0.91%"
"06/28/2020","10,848.65","10,890.48","10,890.48","10,842.68","150.33M","-0.38%"
"06/25/2020","10,890.48","11,039.54","11,088.80","10,890.48","261.62M","-1.35%"
"06/24/2020","11,039.54","10,764.82","11,040.88","10,764.82","261.62M","2.55%"
"06/23/2020","10,764.82","10,742.36","10,773.43","10,695.40","173.86M","0.21%"
"06/22/2020","10,742.36","10,823.91","10,871.82","10,742.36","166.76M","-0.75%"
"06/21/2020","10,823.91","10,857.87","10,857.87","10,707.25","140.39M","-0.31%"
"06/18/2020","10,857.87","10,905.75","10,905.75","10,856.26","142.07M","-0.44%"
"06/17/2020","10,905.75","10,935.32","10,941.65","10,888.71","165.87M","-0.27%"
"06/16/2020","10,935.32","10,668.42","10,955.79","10,668.42","183.65M","2.50%"
"06/15/2020","10,668.42","10,731.17","10,731.17","10,575.45","144.18M","-0.58%"
"06/14/2020","10,731.17","10,831.92","10,831.92","10,703.99","134.12M","-0.93%"
"06/11/2020","10,831.92","10,933.58","10,933.58","10,831.92","136.89M","-0.93%"
"06/10/2020","10,933.58","11,063.04","11,067.60","10,933.58","164.20M","-1.17%"
"06/09/2020","11,063.04","11,146.53","11,146.53","11,063.04","299.02M","-0.75%"
"06/08/2020","11,146.53","11,108.62","11,215.28","11,086.10","236.26M","0.34%"
"06/07/2020","11,108.62","10,621.14","11,109.81","10,621.14","275.60M","4.59%"
"06/04/2020","10,621.14","10,424.10","10,621.30","10,424.10","225.42M","1.89%"
"06/03/2020","10,424.10","10,338.71","10,431.35","10,338.71","237.01M","0.83%"
"06/02/2020","10,338.71","10,227.38","10,344.02","10,227.38","162.66M","1.09%"
"06/01/2020","10,227.38","10,220.14","10,233.23","10,195.29","","0.07%"
"05/31/2020","10,220.14","10,109.91","10,248.99","10,109.91","85.03M","1.09%"
"05/21/2020","10,109.91","10,205.40","10,205.40","10,063.96","","-0.94%"
"05/20/2020","10,205.40","10,357.24","10,358.40","10,203.15","88.50M","-1.47%"
"05/19/2020","10,357.24","10,278.93","10,396.84","10,278.93","86.20M","0.76%"
"05/18/2020","10,278.93","10,357.44","10,378.46","10,278.93","86.20M","-0.76%"
"05/17/2020","10,357.44","10,287.21","10,366.79","10,282.92","68.39M","0.68%"
"05/14/2020","10,287.21","10,396.28","10,396.28","10,286.98","117.63M","-1.05%"
"05/13/2020","10,396.28","10,588.36","10,591.03","10,382.30","151.30M","-1.81%"
"05/12/2020","10,588.36","10,296.33","10,590.93","10,296.33","162.07M","2.84%"
"05/11/2020","10,296.33","10,257.75","10,296.36","10,161.39","153.49M","0.38%"
"05/10/2020","10,257.75","10,176.73","10,262.13","10,168.23","118.83M","0.80%"
"05/07/2020","10,176.73","10,293.95","10,312.70","10,173.99","188.68M","-1.14%"
"05/06/2020","10,293.95","10,188.31","10,295.24","10,188.31","141.56M","1.04%"
"05/05/2020","10,188.31","10,081.96","10,198.77","10,081.96","134.05M","1.05%"
"05/04/2020","10,081.96","10,199.85","10,199.85","10,069.92","159.25M","-1.16%"
"05/03/2020","10,199.85","10,554.04","10,554.04","10,199.85","212.34M","-3.36%"
"04/30/2020","10,554.04","10,545.26","10,571.54","10,513.71","159.25M","0.08%"
