"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"04.02.2021","19.690","19.200","19.740","19.070","2.21M","3.09%"
"03.02.2021","19.100","18.980","19.310","18.550","4.42M","0.47%"
"02.02.2021","19.010","18.920","19.300","18.910","4.04M","3.99%"
"29.01.2021","18.280","18.600","18.870","18.140","6.04M","-3.38%"
"28.01.2021","18.920","18.800","19.150","18.710","2.89M","-0.47%"
"27.01.2021","19.010","18.910","19.120","18.600","2.28M","-1.71%"
"26.01.2021","19.340","19.280","19.430","18.900","3.91M","1.42%"
"25.01.2021","19.070","19.330","19.330","18.660","3.89M","-0.78%"
"22.01.2021","19.220","19.450","19.450","19.050","2.25M","-1.33%"
"21.01.2021","19.480","20.580","20.600","19.380","4.84M","-4.74%"
"20.01.2021","20.450","20.220","20.510","19.780","2.90M","2.05%"
"19.01.2021","20.040","21.000","21.000","19.900","3.54M","-4.02%"
"18.01.2021","20.880","20.470","20.990","20.470","4.02M","1.66%"
"15.01.2021","20.540","20.460","20.810","20.330","1.69M","-0.53%"
"14.01.2021","20.650","20.870","20.910","20.520","4.07M","-0.43%"
"13.01.2021","20.740","20.700","21.220","20.270","1.83M","0.14%"
"12.01.2021","20.710","20.870","21.370","20.210","12.34M","-0.77%"
"11.01.2021","20.870","20.680","21.060","20.160","11.13M","1.26%"
"08.01.2021","20.610","20.900","21.100","20.520","5.42M","-0.91%"
"07.01.2021","20.800","20.440","21.000","20.370","5.02M","3.02%"
"06.01.2021","20.190","20.410","20.810","20.110","4.71M","-0.20%"
"05.01.2021","20.230","20.980","21.110","19.860","3.03M","-2.83%"
"04.01.2021","20.820","20.140","21.300","20.130","1.22M","3.79%"
"31.12.2020","20.060","21.210","21.210","19.810","1.70M","-5.38%"
"30.12.2020","21.200","21.260","21.600","20.720","1.71M","-0.28%"
"29.12.2020","21.260","20.690","21.600","20.560","1.87M","2.90%"
"28.12.2020","20.660","20.230","20.700","19.780","810.24K","2.13%"
"24.12.2020","20.230","19.950","20.420","19.750","332.15K","1.45%"
"23.12.2020","19.940","19.260","20.160","19.000","1.18M","5.00%"
"22.12.2020","18.990","19.960","20.260","18.900","2.06M","-5.94%"
"21.12.2020","20.190","19.700","20.410","19.210","1.19M","2.85%"
"18.12.2020","19.630","20.010","20.590","19.320","8.70M","-2.05%"
"17.12.2020","20.040","20.110","20.460","19.830","3.07M","-1.52%"
"16.12.2020","20.350","19.800","20.400","19.720","1.57M","3.62%"
